stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331.34,0,0,0,0,0,0,0
  5-6,7.63,56.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721.29,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.92,0,0,0,6.19,102.58,0,0,0,0,0,0,0
 10-12,0,11.13,0,0,0,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.17,18.36,0,0,16.55,47.5,0,15.46,0,0,0,0,0
 14-21,0,0,0,0,36.09,9.74,0.99,0,0,0,0,6.39,0,0,0.9,0,0,0,0,1.91,0,0,5.18,0.8,0,14.34,0,328.98,0.87,21.03,1.85,3.2,0,2.44,0
 24-34,0,0,0,0,6.98,0,0.68,0,0,0,1.08,2.58,0,0,1.34,0,0,0,0,5.58,0,6.33,34.78,0.84,3.03,0.68,0,439.32,0,9.79,0,7.33,0,37.67,0
 36-46,0,0,0,0,22.76,0,3.08,0,0.59,0,0,1.15,0.6,0,11.48,0,0,2.42,2.91,5.77,7.69,0.62,16.2,3.78,1.29,0,0,390.69,0,9.49,0,10.17,0,3.22,0
 48-58,0,0,0,0,4.16,0,15.98,0,0.87,0,0.84,4.02,0,0,5.07,0,0.95,3.8,1,3.83,6.82,1.89,32.7,0,2.54,0,0,275.73,0,5.51,0,11.37,0,11.11,6.78
 60-70,0,0,0,0,22.37,0,5.89,0,9.53,0,4.1,4.12,0,0,1.14,0,1.02,0,0,1.65,0,0,29.33,1.04,0.73,5.77,0,262.29,0,5.35,0,1.54,0,1.31,0
 72-82,0,0,1.47,0,17.78,0,16.34,0,1.82,0,9.27,16.14,0,2.06,2.24,0,0.79,0.79,0,8.06,1.8,0,48.21,1.23,5.71,0.56,0,180.39,0,0.73,0,1.84,0,6.39,0
 84-94,0,0,0,0,27.76,1.58,15.43,0,2.44,0,5.78,22.21,0,0,6.48,0,0,1.58,0.9,7.41,0.91,0,15.8,0,2.6,0,0,388.45,0,1.85,0,19.99,0,4.02,0
 96-106,0,0,7.18,0,36.05,1.49,8.56,0,11.09,0,18.44,35.81,2.75,0.74,9.07,0,5.65,2.07,0,6.59,4,0.61,65.57,1.22,3.04,1.31,0,393.67,0,3.74,0,0,0,4.83,0
108-118,0,0,3.49,0,59.24,0,7.95,0,11.3,0.73,8.31,44.04,0,0.49,7.97,0,3.54,5.72,0.58,1.45,3.35,1.64,33.61,0.47,2.17,2.87,0,302.98,0,0.45,0,0,1.08,1.96,0
120,0,0,0,1.66,45.89,1.81,0,1.01,8.36,0,2.88,50.97,0,0,5.58,1.62,8.05,7.86,0,2.76,1.1,2.71,72.15,0,20.58,0,0,195.25,0,1.22,0,4.02,0,0,0
