stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,374.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.16,0,0,0,0,0,0,0,0,0
  5-6,32.51,258.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.46,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,98.81,0,0,0,28.05,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.39,0,0,16.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.96,20.25,0,0,32.01,12.28,4.37,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,140.82,0,3.61,0.88,0,0,1.08,0,0,0,0,0,0,0.81,0,0,2.54,24.37,0,0,0,2.04,27.82,0,3.12,0.9,1.77,1.89,0,0,0,0
 24-34,0,0,0,2.17,195.2,0,17.79,11.25,0,0,2.55,0,0,2.72,0,2.68,0,14.03,1.83,0,2.75,78.91,0.99,1.25,3.89,0,39.42,0,0,2.87,0.63,6.02,0,0,0.64,0
 36-46,0,0,0,0,211.29,0,32.16,25.42,0,0.68,0,0,0,4.99,0,0,3.78,22.27,0,0,0.97,47.46,0,0.6,0,0,21.02,0.78,0,10.76,0,3.28,0,0,0,0
 48-58,0,0,0,0,148.36,0,26.14,27.95,0,0.42,2.3,0,5.79,0.55,0,0,0,2.51,0,0,0,62.91,0,0,5.33,0,12.7,0,0,0,0,2.71,0,0,0,6.72
 60-70,0,0,0,0,109.73,0,57.9,33.05,0,0,14.54,1.56,0,5.15,2.66,0,0,0,0,0,3.34,67.79,0,0.9,0,0,2.5,0,0,2.54,0,0,0,0,0,0
 72-82,0,0,0.78,0,68.19,0,40.02,18.41,1.31,2.79,6.27,0.65,0,0.7,0,3.72,0,6.89,1.5,0,0,50.48,0,1.35,1.51,0,0,0,0,0.73,0,1.79,1.29,0,0,0
 84-94,0,0,0,0,127.31,0.78,32.01,18.63,0,0.92,7.98,1.3,0,5.33,5.41,26.04,0,2.28,0.71,0,0,19.12,0,1.05,2.89,0,3.85,0,0,1.89,0,0,1.76,0,4.44,0
 96-106,0,0,0,0,84.86,1.07,8.8,17.12,0,1.31,6.75,0,0,1.74,0,0,0,7.49,0,0,0,51.07,0,4.14,0.69,0,6.39,0,0,2.07,0,0,1.68,1.15,0,0
108-118,0,0,0,0,102.55,0,32.39,40.39,0,1.68,6.82,0,0.66,1.4,0.74,2.54,0,2.96,0,1.21,0,50.56,0,3.17,6.15,0,2.06,0,0,3.17,0,0,1.97,0,0.65,0
120,0,0,0,0,219.11,0,45.44,34.89,5.27,0,41.49,0,0,8.41,0,6.84,0,10.34,2.79,2.22,0,123.06,3.13,1.32,6.92,0,3.93,0,0,4.86,0,0,5.78,0,0,0
