stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,39.28,811.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.95,0,0,0,0,0,0
  5-6,61.88,1206.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.54,15.57,0,0,6.91,0,6.81,0,0,0,0,0,0
  7-9,4.2,6.14,38.38,0,0,63.11,0,0,0,7.25,0,0,0,0,0,0,0,0,378.53,10.95,0,0,38.67,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.04,0,0,0,7.8,0,0,0,0,0,0,0,0,228.75,3.12,0,0,115.41,0,0,0,11.92,0,0,0,0
 14-21,0,0,0,4.89,0,1.65,0,2.04,0,0,0,0,0,0,3.15,0,0,3.43,62.14,3.16,0.85,0.95,0.82,0,0,5.75,3,4.81,31.14,1.5,0
 24-34,0,0,0.65,0.67,0,11.16,0,0.64,0,0,0,0,0,0.68,8.5,0,0,1.67,120.35,0,0,0.67,0,0,6.82,0,0,1.26,24.79,1.86,0
 36-46,0,0,0,2.48,0,18.03,0,7.18,0,0,5.16,0,0,0,8.01,0,0,2.11,58.16,0,1.23,0,0,1.69,1.82,0,0,0,12.49,0,0
 48-58,0,0,0,2.46,0,18.46,0,8.65,0,0,0,0.48,0,0,5.36,0,0,2.99,35.2,0,0,0,0,0,2.71,0,0,0,10.18,0.47,0.53
 60-70,0,0,0,0,0,11.76,3.05,13.82,0,0,0,0,0,0,6.32,1.83,0.84,0,10.35,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,9.97,0,9.79,0.76,0,0,0,0,0.57,2.76,0,0,1.76,23.49,0,0,1.07,0,0,0.66,0,0,0,4.69,0,0
 84-94,0,0,0,0.62,0,5.81,0.56,6.63,0,0,0,0,0.76,0,13.7,0,1.36,0.6,11.22,0,0,0,0,0,0,0,2.39,0,0,0,0
 96-106,0,0,1.03,2.44,0,4.71,0,0.93,0,0,0,0,0,0,8.16,0,0,0,7.2,0,0,0,0,0,0,0,0.67,0,0.99,1.03,0
108-118,0,0,0,3.01,0,4.93,0,6.36,0,0,0,0,0,0,5.1,0,0,1.64,12.16,0,0,0,0,0,0.58,0,0,0,0,0,0
120,0,0,0,1.24,2.59,9.13,0,8.03,0,0,0,0,0,0,14.28,0,0,1.13,27.32,0,0,0,0,0,1.04,0,0,0,1.7,2.99,0
