stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,0,14.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,99,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0
  7-9,3.28,0,0,0,0,18.91,0,0,0,0,0,78.8,0,3.87,0,0,0,0,0
 10-12,0,0,0,0,0,4.03,0,0,0,0,0,18.55,0,5.33,0,0,0,0,0
 14-21,0,0,0.89,0.81,1.24,0,0,0,0,0,2.96,41.12,0.82,0.92,1.97,1.75,2.66,3.08,0
 24-34,0,0,0,6.12,0,0.6,0,0,0,1.15,0,22.05,0,0,0,0,0,2.73,0
 36-46,0,0,0,0,0,2.43,2.78,0,0,5.08,0.57,20.37,0,0,0,0,0,6.75,1.81
 48-58,0,0,0,1.66,0,1.92,1.69,0,0,2.02,0,14.1,0,0,1.29,0,0,4.99,0
 60-70,0,0,0,0.62,0,14.54,1.51,6.42,0,1.93,0,12.34,0,0,0,0,0,4.25,0
 72-82,0,0,0,0,0,0.62,3.69,0,1.7,7.01,0.53,11.35,0,0,0,0,0,1.29,0
 84-94,0,0,0,0,0.84,2.92,2.09,0,0,0.56,0,4.57,0,0,5.09,0,0,10.45,0
 96-106,0,0,0,0,0,10.98,3.72,0,0,3.88,0,9.96,0,0,0.83,0,0,0,1.06
108-118,0,0,0,0,0,0.77,1.29,0.64,0,0,0,2.48,0,0,0,0,0,0.7,0.87
120,0,0,0,0,0,0,7.28,0,0,3.18,5.06,12.39,0,0,0,0,0,0,0
