stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,37.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0
  5-6,16.7,82.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.66,0,0,0,26.83,0,0,0,0,0,0,0,0
 10-12,0,4.07,31.23,0,0,23.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.55,0,0,0,42.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,22.75,0,0,0,1.46,0,0,0,1.01,0,0,0,0
 24-34,0,0,0,7.05,0,10.24,0,1.24,0,0,0,0,1.35,0,0,0,6.46,0,0,0,24.07,0,4.61,6.92,0,0.99,13.02,0,5.62,0,0,0,0
 36-46,0,0,0,11.47,0,7.28,0,1.62,0,3,0,0,0,0,0,0,13.76,0,0,0,36.75,0,0,0,0,0,19.91,0,10.71,0,0,0,0
 48-58,0,0,0,15.14,0,16.84,0,4.09,0,2.93,2.39,4.72,0,0.45,0,0.53,6.62,3.1,0,0.57,58.95,0,4.29,2.66,0,0,23.47,0,2.1,0,0,0,0
 60-70,0,0,0,20.69,0,4.97,0,8.83,0.84,10.05,10.36,1.08,0,1.57,0,2.31,43.35,0,0,0,27.72,3.57,0,9.53,0,0,12.15,0,4.54,0,1.06,0,0
 72-82,0,0,0,2.35,0,5.63,1.33,0.65,0,18.04,0,0,0,1.73,0,0,37.68,0,0,2.62,17.48,0,0,8.18,0,0,0,2.62,0,1.81,2.24,4.89,0
 84-94,0,0,0,4.54,0,1.43,0,1.48,0,9.65,2.7,0.6,0,0.66,1.81,0,24.89,0,0.71,0,4.46,0,0,8.11,0,0,5.39,0,0,0,0,1.4,0.68
 96-106,0,0,0,4,2.89,1.35,0,0,0,9.44,0.76,0,0.63,0,0,1.77,7.55,0,0,0,6,0,0,0.98,0,0,1.36,0,2.5,0,0,0.68,0
108-118,0,0,0,1.69,0,8.43,0.56,0,0,5.45,4.06,0,0,1.15,0,0,37.9,0,4.23,2.02,3.07,0,0,2.15,0,0,2.05,0,0,0,0.8,0.46,0
120,0,0,0,37.09,0,2.39,0,3.8,0,47.18,11.15,0,0,1.34,4.98,0,37.67,0,0,15.81,22.8,0,1.11,27.03,0,0,6.71,0,10.6,2.82,0,18.93,0
