stage,axial,blastomeres,epidermis,eye,glial,gut,lateral_line,mesenchyme,mural_cell,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord
  3-4,0,13.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.99,0,0,0,0,0,0,0,1.01,0,0
 24-34,0,0,0,2.71,0.77,0,0,0,0,1.45,0,0,4.02,0,0,2.71
 36-46,0,0,0.64,0,0,0,0,1.37,0,8.08,0,0,1.59,0,0,0
 48-58,0,0,0,1.34,0,0,0,0,0,8.79,0,0,2.91,0,0,0
 60-70,0,0,4.18,1.03,0,0,0.77,0,0,0.94,0,0,9.44,0,0,0
 72-82,0,0,0,1.55,3.82,0,0,0.68,0,0.94,0,0,9.9,0,0,0
 84-94,0,0,7.73,0.82,1.33,0,0,0,0,0,0,0,22.93,0,0,4.24
 96-106,0,0,0.56,0.56,0,0,1.36,0,0,0,0,0,13.58,0,0,0
108-118,0,0,0,1.02,0,0,5.26,0,0,1.3,0.43,0,39.5,0,0,0
120,0,0,0,1.3,0,0,11,0,2.22,6.51,0,2.4,69.82,0,4.05,0
