stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,372.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.72,115.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.34,0,3.29,0,0,9.9,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,54.32,17.71,0,0,34.91,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.97,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.23,5.72,0,0,30.37,0,0,8.5,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.68,2.39,9.9,0,0,0,1.9,0,0,0,0,0,0,0,7.54,0,1.86,64.74,0.81,0,1.65,0.84,0,0,0,0,0,2.06,13.47,0,0,0,0,0
 24-34,0,0,0,0,0,3.07,0,0,0,1.34,0,0,0,0,0,0,0,7.44,0,0,25,0,0,0,0,0,0,0,2.33,0.95,0.71,9.33,0,0,0,0,0
 36-46,0,0,0,10.16,0.6,3.28,0,0,14.54,0,0,0,0,0,0,0,0,22.57,0.55,4.23,79.05,0,1.29,0.94,0,0,0,0,0,0,0,22.7,0,0,0.85,0,0
 48-58,0,0,0,0.43,0,9.89,0,1.61,41.56,0,0,1.39,0,0,0,0,0,26.32,13.5,1.05,111.91,0,0,1.47,0,0.46,0,0.65,0,0,0,11.76,0,2.66,0,0,0
 60-70,0,0,0,0,0,7.62,0,0,27.44,0,0,0,0,0,0.63,0,0,97.79,10.76,1.64,373.12,0,0,1.01,0,0,0,0,0,0,0,9.83,0,14.6,0,4.36,0
 72-82,0,0,0,1.7,12.67,53.9,0,9.03,176.43,0,0,1.36,0,0,2.07,0,0,177.03,23.47,12.14,456.57,0,1.15,0,0,0,0.54,0,0,0.55,0,7.75,0,13.05,0,20.94,4.06
 84-94,0,0,0,5.66,3.56,29.18,0,1.21,107.48,0,0,0,0,0,0,0,0,110.43,17.06,12.52,172.54,0,0,1.19,0,0,0,0,0,0,0,7.32,0,4.63,0,28.16,0
 96-106,0,0,0,2.41,0,25.22,0,3.64,170.46,0,0,6.74,1.33,0,0,0,0,305.23,18.92,2.76,83.08,0,0,0.89,0,4.36,0,0,0,0,0,0,0,15.34,0,29.3,0
108-118,0,0,0,1.23,0.83,24.98,0.48,1.62,84.89,0,0,5.19,0,0,2.09,0,2.84,330.22,32.43,7.46,95.86,0,0,0,0,13.88,0,0,0,0,0,1.59,0,8,0,6.32,0
120,0,0,0,4.93,0,6.16,0,3.65,48.63,0,0,3.22,0,1.17,9.76,5.07,3.42,297.72,29.83,6.21,56.37,0,0,0,0,0,0,0,0,0,0,0,2.31,0,5.97,64.37,0
