stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  5-6,21.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,27.59,0,0,0,0,0,0,0,42.88,0,0,0,4.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,12.77,0,0,4.36,0,0,0,0,0
 14-21,0,4.25,0,0,1.03,0,0,0,0,0,0,14.56,6.14,0,0,0,0,0,0.84,0,0,4.62,2.02,0,0
 24-34,0,0.78,0,0,2.82,1.24,0,0,0,3.35,0,0,33.91,0,0,0,0,0,0,0,0,2.31,3.94,0,0.63
 36-46,0,0,0,0,3.1,0,0,0,0,3.35,0,0.73,19.19,0,0,0,0,2.83,0,0,0,0,2.47,0,0
 48-58,0,0,0,0,5.07,1.18,7.18,0,0,0.86,0,2.31,5.53,0,0.38,0,0,2.11,0,0,0.77,0,10.53,1.79,0
 60-70,0,2.38,0,0,1.79,0,2.31,0,0,6.5,0,1.33,8.45,0,0,2.82,0,0,0,0.97,0,0,3.44,0,0
 72-82,0,0.53,0,0,2.65,0,0.54,0,0,0.59,0,0,2.95,0,0,0,0,0,0,0,0,0,0,0.64,0
 84-94,0,0.55,0,0.92,1.78,2.12,0,0.75,0,0,0.55,0,9.32,0.94,0,0,0,0,0,0,0,0,0,1.56,0
 96-106,0,1.39,0,0,0.86,0,0,0,0,5.13,0,0,6.6,0,0,0,0,4.73,0,0,0,0,0,0,0
108-118,0,0,0.49,0,2.75,0,4.64,0,0,1.14,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0
120,0,2.55,0,0,0,0,0,0,1.69,0,0,1.36,6.77,0,0,0,0,0,0,0,0,0,0,0,0
