stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,11.6,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.59,369.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.44,24.83,0,0,0,0,0,0,0
  7-9,0,10.27,7.96,0,0,32.35,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,149.11,4.82,0,0,34.27,0,7.58,0,0,0,0,0,0
 10-12,0,6.72,16.44,0,0,19.76,0,0,0,0,8.22,0,0,0,0,0,0,0,0,0,135.39,0,0,0,48.28,0,17.59,0,0,0,0,0,0
 14-21,0,0,0,7.49,2.02,3.37,0,0,1.1,0,2.19,0,0,0,0,0,0,1,0,1.94,35.83,0,2.46,0,0.92,24.73,3.7,4.74,5.06,12.92,0,0,0
 24-34,0,0,0,0.71,4.47,7.67,0,0,2.39,3.39,0,0,0.75,0,0,0,0,0.91,2.29,2.95,74.85,0,8.79,1.48,0,302.93,0.86,0,0,11.08,0,1.1,0
 36-46,0,0,0,0.64,0,4.76,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,80,1.08,5.46,0,0,258.38,7.07,0,0,9.28,0,2.82,0
 48-58,0,0,0,0,0,8.52,0,0,5.75,0,0,0,0,0.43,0,0,5.83,1.39,0,3.36,103.46,0,0.48,0.67,0,24.57,0.98,0,0,6.54,0,0,0
 60-70,0,0,0,0,0,22.71,0,0,3.51,0,0,0.99,0,0,0,8.43,0,2.28,0,0.58,113.09,0,0.84,0,0,13.62,0,0,0,16.28,0.81,6.72,0.79
 72-82,0,0,0,4.95,0,22.66,0,0.69,1.45,1.02,0,2.39,4.91,0,0.61,0,0,5.84,0.92,1.06,137.74,0.56,0.6,2.31,0,2.25,0,0,0,8.81,0.51,2.06,0
 84-94,0,0,0,4.71,0,14.28,1.16,0,4.95,0.92,0,2.54,2.07,0,0,0,0,4.7,0,2.28,86.84,0,1.86,0,0,11.66,0,0,0,16.68,6.37,2.18,0
 96-106,0,0,0,15.06,0,5.81,0.64,1.07,6.94,2.59,0,8.04,1.69,0,0,0,0,5.95,0,2.22,61.91,0,1.71,0.9,0,24.61,1.78,0,0,2.13,1.95,6.51,0
108-118,0,0,0,16.83,3.1,10.29,0,0,6.99,0.54,0,8.86,6.95,0,0,0,0,8.87,0.42,0.85,102.21,0,1.51,0,0,22.04,2.4,0,0,0.44,11.69,15.11,0.68
120,0,0,0,27.29,1.9,3.49,9.76,0,0,0,0,14,12.02,0,0,12.08,0,11.37,0,2.74,107.51,0,0,0,0,116.68,2.3,0,0,0,5.28,16.32,0
