stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,3.21,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.22,2.2,3.28,0.88,0,1.08,0,0,0,0,0,2.57,1.56,16.12,0.86,0,0.8,0,0,0,3.64,8.91,0,0,3.84,0
 24-34,0,0,2.36,13.03,0.89,3.43,0,0,0.67,0,0,0,0,0,2.99,7.39,117.09,1.6,0,0.64,0,0,0,0,15.58,0,0,13.41,0
 36-46,0,0,0,7.35,0,12.2,0,0.67,19.15,0,3.74,0,0,0,9.14,0.59,170.27,0,0,0.84,0,0,0,0,25.3,0,0,25.21,0
 48-58,0,0,0,1.38,0,15.57,0,1.33,28.31,0,2.15,0,0.45,0,18.57,1.57,174.87,0,0,0.53,0,0,0,0,35.61,0,0,35.95,0
 60-70,0,0,0,2.36,0,38.57,0.89,0,8.61,0,2.42,0,0,7.36,21.14,0,146.29,0,0.72,3.17,0,1.9,0,0,30.78,0,0,3.64,0
 72-82,0,0,0,0.54,0,42.56,0,1.79,3.74,0,7.06,0.59,0,0,10.37,1.23,79.45,0,0.73,0.99,0,0,0,0,10.7,0,0,40.56,0.53
 84-94,0,0,0,1.73,0,23.91,3.81,0,10.3,0.76,0.98,0.65,0,0,8.82,0,79.71,0,5.56,0,0,1.83,0,0,3,1.34,1.07,31.45,0
 96-106,0,0,0,0,7.51,8.96,1,0,6.72,0,7.55,0.62,0,0,20.61,0.8,22.71,0,5.32,1.09,0,0,0,0,0,0,0,51.28,0
108-118,0,0,0,0.48,0,10.93,0,1.23,3.06,0,1.27,0.43,3.71,0,12.55,0,15.99,0,5.09,2.05,0,0,0,0,2.76,0,0,61.11,0
120,0,0,0,5.76,6.81,1.99,0,0,0,0,0,0,0,0,13.01,0,28.77,0,2.3,0,0,0,8.7,0,0,0,0,90.7,0
