stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,232.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.85,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.29,327.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.85,6.43,0,26.78,0,0,0,44.34,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,318.86,0,0,0,69.82,0,4.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.49,0,0,0,0,0,6.93,0,0,0,0,0,9.13,0,0,0,0,0,0,0,0,0,0,0,555.3,11.83,0,0,63.42,3.3,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,18.82,2.87,0,4.2,0,0,0,1.11,0,0,0,0,0.96,0,0,1.16,0,4.39,0,0,2.75,1275.39,6.28,4.65,3.68,0,16.45,0,2.19,0,0,2.75,584.48,0,0,0,0,0
 24-34,0,0,2.11,0,13.72,2.49,0,48.52,0,1.51,0.89,3.92,2.19,0,0,0,2.08,0,0,8.52,0,19.11,0,0,3.13,3736,0,50.84,2.6,0,19.01,0,0,1.48,3.34,5.59,1312.46,0,0,14.79,0,0
 36-46,0,0,0,0,1.88,0.67,0,208.58,0.57,0,1.67,10.06,0,0,0,4.37,0,0,0,3.54,9.36,31.72,0,0,4.99,5092.51,2.62,71.09,4.66,0,41.1,0,0,0.88,0,0,2581.86,0,0,11.7,0,0.67
 48-58,0,2.59,0,0,7.96,0,0,308.65,0,1.18,2.42,31.18,0.61,0,0,0.53,0,6.25,0,0.39,2.93,51.72,0,0,6.72,2692.76,0,23.18,0,0,18.07,0,0,0,0,0,1367.79,0,0,0.41,0,38.31
 60-70,0,0,0,0,15.78,0,0,374.66,0,2.71,2.73,35.44,0,0,0,0,0,0,0.91,0,6.38,25.53,0,0.59,0,3455.07,0,22.02,0.91,0,6.79,0,0,0,0,0,1193.4,0.61,0.8,3.34,0,2.58
 72-82,0,0,0.54,0,5.99,6.36,0,277.74,0,0,3.2,57.57,0.86,0,0,3.59,0,13.47,0,0,0,53.49,0.83,0,5.4,2873.9,0,15.69,7.51,0,6.53,0,0,0,0,0,689.29,0,1.75,15.41,0,16.26
 84-94,0,0,2.72,0,21.51,4.59,0,208.53,0,10.84,1.2,56.17,0,0,1.18,1.79,0,0,1.76,0,0,25.85,0,0,0.6,1974.48,0,10.5,3.67,0,7.71,0,0,0,0,0,355.64,3.54,1.64,3.29,0,0
 96-106,0,0,1.09,0,11.35,30.38,9.83,164.16,0,0.57,0.81,86.2,0.87,0,0,1.56,0,1.29,0,0,0,56.85,0,0,5.46,1616.72,0.77,15.37,1.96,0,8.24,0,0,0,0,0,191.34,4.52,1.2,3.15,0.87,2.2
108-118,0,0,0,0,10.65,1.01,0.91,109.12,0,2.24,2.52,145.1,0,0,0,2.33,0.63,0,2.28,0,0.59,25.37,1.96,0,0,2155.29,0,8.46,2.24,0,3.58,0,0,1.88,0,0,213.37,2.87,0,0.44,0,0
120,0,0,0,0,25.52,1.9,0,210.23,0,3.44,0,264.65,3.28,0,0,4.76,0,0,1.69,0,0,45.56,0,0,8.59,4193.64,0,1.61,0,0,0,0,0,0,0,0,454.21,1.19,0,1.54,0,7.88
