stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,8.59,4.27,0,0.9,0,0,0,3.02,0,0,1.32,0,0,0,3.14,0,6.01,64.79,0.82,3.47,2.23,2.72,1.97,9.39,0.9,5.33,42.11,0,0,0,0
 24-34,1.01,6.81,0.81,0,29.34,0,1.07,0,3.37,1.69,0.98,1.27,0,0,0,25.36,0,6.25,197.32,0.87,1.61,4.73,0,8.03,0,0.75,0.8,25.98,0,12.6,0,0
 36-46,0,19.59,0,0,21.17,3.4,5.25,0,0.58,0,0,0,0.68,0,1.62,13.05,0.55,1.82,72.21,0,1.22,0,0,12.24,0,0,0,18.52,0,12.58,0,0
 48-58,0,5.82,0,0,61.93,0,1.71,1.13,4.78,0,0,0,0,0,0,24.63,0.41,3,71.55,0,4.19,2.84,0,1.35,0,0,0,11,0,20.24,0,0.44
 60-70,0,14.1,0,0,20.41,0,4.01,0,4.73,0,0,0.57,2.65,0,0,46.03,0.75,2.18,64.2,0,1.02,0,0,2.31,0,0,0,8.13,0,13.33,0,0
 72-82,0,1.85,3.35,0,15.17,0,0.8,0,3.38,0,2.67,0,0,0,2.04,26.06,0,0.94,97.13,0.72,2.59,2.55,0,1.49,0,0,0,6.28,0.78,47.08,0,0
 84-94,0,1.72,0,0,29.02,0,0,0,7.11,0,0,1.63,0,0,2.07,20.97,0.85,2.77,49.7,0,11.56,0,0,4.34,0,0,0,0.69,0,38.14,0,0
 96-106,0,0.72,0.7,1.14,24.12,0,0.56,0,5.77,2.34,0.89,1.47,1.67,1.21,1.45,19.69,0.63,0,53.55,0,3.52,3.15,0,5.81,0,0,0,0,0,31.58,1.28,0
108-118,0,10.8,0.92,0,20.72,0,2.52,0,13.71,7.52,2.18,0.53,1.52,0,3.36,17.78,0.65,3.02,56.72,0,5.78,0.89,0,11.09,0,0,0,0,0,12.09,3.18,0
120,0,2.42,0,0,12.74,0,0,0,5.21,1.41,0,0,0,1.19,0,30.2,11.39,0,60.75,0,14.94,8.85,0,7.55,0,4.24,0,0,0,29.81,0,0
