stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.93,0,0,0,0
  5-6,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,71.34,5.98,0,0,3.39,0,0,0,0,0
 10-12,8.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.22,0,0,0,9.27,0,0,0,0,0
 14-21,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0.93,0,0,0,0,33.2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.63,0,0,3.03,5.44,0,0,1.01,0,5.44,0,14.21,0,0,18.1,0,1.15,0,0
 36-46,0,1.93,0,0,1.3,0,0,0.82,0,0,0,0,14.09,12.02,0,0.86,0,0,44.99,0,18.03,0,0,192.26,0,0,0,0
 48-58,0,7.84,0,0,2.98,0,0,0,0.48,0,0,0,6.13,28.03,0,0.79,5.16,0,43.38,0,10.52,7.16,0,330.44,0,9.46,0,0
 60-70,0,14.07,0,0,8.21,0,7.15,0,0.93,0,0,0,10.68,30.59,0,2.62,13.21,0,43.85,0,12.71,0,0,543.44,0,8.99,0.61,0
 72-82,0,24.72,4.94,0,4.89,0,6.55,0.77,1.75,1.75,0.59,0.54,9.28,43.22,0,1.68,14.94,0,38.07,0,17.16,3.5,0,434.26,0,1.85,1.16,0.98
 84-94,0,42.27,0,0,18.49,0,4.37,0,2.92,0,0,0.7,18.24,56.77,10.9,2.4,37.26,0,49.86,0,47.16,2.55,0,1145.71,0,0,3.48,0
 96-106,0,56.15,4.97,0.66,14.47,0.95,6.47,0,2.05,6.41,0,1.43,22.67,73.55,18.45,2.72,49.46,1.08,65.11,0,74.75,0.57,0,1213.61,0.9,7.72,5.71,0
108-118,0,72.73,2.9,0.97,3.09,0.76,13.61,0,2.52,3.2,0,1.33,28.38,79.71,0,0.42,17.25,0,15.72,0,28.8,2.01,0,944.03,0,0,5.9,1.64
120,0,110.32,0,0,15.48,0,8.06,0,14.66,3.47,0,2.32,18.07,67.07,4.86,3.19,80.92,0,29.67,0,47.06,3.63,0,938.39,0,0,3.83,0
