stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,neural,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.09,537.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,128.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,18.17,0,0,0,0,0,0,0,0,0,0,23.06,0,0,0,0,0,0,0
 14-21,0,0,1.05,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,9.06,0,0,1.21,0,0,0,0
 24-34,0,0,1.39,0,2.16,0,0,0,0,0,1.06,9.64,5.37,0,0,0.62,0,30.31,3.96,0,8.49,0,1.44,0,0
 36-46,0,0,0,0,0,0,1.25,0,0,0,1.58,43.61,4.95,0,0,0,0,20.36,1.46,0,17.53,0,3.35,0,0
 48-58,0,0,0,0,0,0,0.59,0,0,0,3.74,38.83,2.39,0,0,1.32,0,15.42,6.14,0.47,8.17,0,0.4,0,0
 60-70,0,0,0,0,0,4.71,6.12,0,0,0,3.13,59.74,0.57,0,0,0.88,0,18.55,5.19,0,8.85,0,0.75,1.2,0
 72-82,0,0,0,0,0,1.36,24.92,0,0,0,4.6,58.13,3.4,0,0.5,1.12,0,42.41,8.29,0,3.54,0,1.89,0.91,5.55
 84-94,0,0,0,0,0,1.42,25.69,0,0,0.89,0.62,87.5,1.46,0,0,5.88,0.95,29.65,15.85,0,1.48,0,2.59,5.02,0
 96-106,0,0,0,0,0,0.67,49.27,3.61,0,0,2.05,83.51,1.65,0,7.42,1.52,0,31.97,9.56,1.27,2.05,0,4.8,16.04,0
108-118,0,0,0,0.74,3.89,1.21,35.94,0,0.6,0,2.88,102.26,6.4,1.03,3.79,9.62,0,47.79,16.85,0,0,0.64,2.62,11.58,0.82
120,0,0,0,0,1.33,7.03,17.3,0,0,0,11.69,150.11,12.16,0,5.59,0,0,90.3,18.64,0,0,0,4.69,33.18,0
