stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,iridophores,mesenchyme,mucous,neural,olfactory,periderm,slow_muscle,spinal_cord
  3-4,20.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.74,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.03,0,0,0,0
 24-34,0,0,0,12.42,0,0,0,0,0,0,0,4.91,0,0,0,0
 36-46,0,0,0,11.1,0,0,0,0,0,0,0,8.15,0,0,0,0
 48-58,0,0,0,7.68,0,0,0,0,0,0,0,0.48,0,0,0,0
 60-70,0,0,0,113.99,0,0,0,0,0,0,0,0,0,0,0,2.02
 72-82,0,0.52,0,348.02,0,0,0,0,3.21,1.56,0,11.42,0,0,0,0
 84-94,0,0,1.4,474.79,0,0,0.67,0,0,0,0,4.09,0,0,0,0
 96-106,0,5.47,0,922.06,2.11,0,0,5.22,0,2.35,1.94,5.94,3.46,4.41,1.49,4.51
108-118,0,0.72,0,855.02,0,2.1,0,1.42,0,1.88,0,4.42,2,7.51,0,3.17
120,0,1.45,0,1171.14,3.6,0,0,0,0,0,0,30.7,0,0,0,4.02
