stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,99.48,1172.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.63,0,0,0,0,0,0,0,0,0,0
  5-6,29.81,377.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.22,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0,0,0,0,0,0,0,0,0,0,111.42,0,0,0,15.97,355.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.41,0,0,0,20.63,150.7,3.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.32,10.95,1.74,0,0,0,0,0,2.78,0,0.89,0,6.71,0,0,0,0,4.69,4.03,0,1.4,13.98,0,0,2.36,0,1204.52,0,0.82,0,2.86,3.8,0,0,0,0,0
 24-34,0,0,0,14.3,0,0,8.11,3.92,0.84,1.77,0,0,0,0.9,9.62,0,0,4.01,1.29,2.54,13.79,0,3.35,83.61,0.74,0.85,1.6,0,1625.59,0,0,0.93,0.66,11.75,0,0,4.1,0,6.36
 36-46,0,0,0,5.09,0,0,4.48,25.78,0,0,0,0,0,0,6.63,0.65,0.61,0,0,15.46,22.59,0,0.58,55.8,0.65,0.6,0,0,2205.66,0.81,0,0,0,5.79,0,0,0.68,0,0
 48-58,0,0,0,22.94,0,0,18.84,20.7,0,4.89,1.61,0,0.42,2.24,14.57,0,0,0,3.13,11.25,13.01,0,1.06,92.88,0,0,0,0,1841.96,0,0,0,0,17.25,0,0,3.23,0,3.22
 60-70,0,0,0,44.48,0,0,18.4,17.05,2.54,0,0,0,0,0,0,0,0,0,0,24.99,5.21,0,4.39,25.29,2.09,0,1.16,0,1288.84,0,0,0,0,10.15,0,0,0,0,0
 72-82,0,0,0,76.79,0,0,16.33,14.74,0,2.14,5.45,0,0,0,6.4,0,0,0,0,7.33,7.21,0,0,30.91,0,0,0,0,815.3,0,0,0,0,1.77,6.79,0,0,0,14.27
 84-94,0,0,0,151.74,0.55,0,39.27,55.27,0,8.31,3.75,0,0,0,24.85,0,0,3.62,3.18,12.26,19.96,2.67,1.52,39.56,0,2.19,0,0,2450.63,0,0,0,0,0.79,12.51,0,0,0,0
 96-106,0,0,0,230.98,10.07,0.9,29.97,52.66,0,13.89,21.98,0,2.59,0,21.72,0,4.34,0,0,15.67,18.67,0.59,2.77,67.36,0,0,0,0,1885.92,0,0,0,0,3.16,6.92,1.15,0,2.54,0
108-118,0,0,0,224.68,0.55,2.25,5.89,64.07,2.11,2.3,13.64,0,0.96,1.56,31.22,7.22,0.56,2.66,1.99,10.75,20.96,0,0.72,52.76,0,0,0.44,0,1753.55,0,0,0,0,1.71,13.39,0,1.64,1.15,0
120,0,0,0,228.35,0,1.8,28.25,40.26,0,8.01,6.99,0,0,0,8.96,0,0,0,0,9.34,15.9,0,0,39.97,3.79,0,0,0,1053.33,0,0,0,0,0,4.32,0,0,0,0
