stage,eye,fin_epithelia,glial,mesenchyme,neural,otic,periderm,spinal_cord
 24-34,0.98,0,0,0,1.09,0,0,0
 36-46,0,0,0,0,16.81,0,0,0
 48-58,0,0.93,0,0.64,7.91,0,0,2.31
 60-70,0,0,0,0,22.22,0,2.89,0
 72-82,0,0,0,0.64,0,0,0,0
 84-94,0,0,0,0,0,3.58,0,0
 96-106,0,0,0.97,0.63,3.75,0,0,0
108-118,0,0,0,0,1.93,0,0,0
120,2.7,0,5.73,0,31.44,0,0,0
