stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.52,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,5.14,5.43,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,415.01,0,27.71,0,0,0,0,4.69,0,1.44,2.44,53.49,0,0,0,0,0
 24-34,3.81,7.17,0,20.6,0,0,0,0.63,0,0,0,0.71,0,0,0,0,3.46,0,0,2.81,1845.47,0,210.33,0,0,0,4.27,0,0,0,0.67,241.42,0,0,4.97,0,0
 36-46,0.73,22.01,0,95.96,0,1.98,0,4.99,0,1.57,0,0,0,0,0,0,5.9,0,0,0.58,3747.07,0,242.78,0,0,0,0.84,0,0.88,0,0,371.87,0,0,1.85,0,0
 48-58,1.16,13.95,0.6,287.8,0,0.47,0,22.93,0,7.73,2.48,0,2.21,0.44,0,7.15,35.43,0,0,12.48,5083.81,8.55,176.76,0,0,0,14.92,0,0,0.55,0,429.06,0,0,4.16,0,11.83
 60-70,0,12.47,0.67,478.74,0,6.08,1.04,15.09,0,0,0,0.86,0.72,0,0,0,63.5,0,0.95,6.34,5682.05,0,176.96,1.42,0,0,15.07,0,0,1.01,0,566.96,0,0,1.16,0,11.05
 72-82,1.33,13.45,22.2,838.34,0,12.02,1.34,78.38,1.68,0.51,6.24,0,2.2,0,4.09,0.95,35.07,0,6.88,10.21,7443.81,0,224.26,3.19,0,0,7.88,0,0,0,0,283.26,0,0,16.97,1.87,16.26
 84-94,2.1,12.24,18.45,825.15,5.11,0.74,8.01,48.59,0,2.08,2.09,2.25,2.64,0,0,0,46.78,0,5.76,9.31,4727.29,0.89,179.23,2.34,0,0,13.27,0,0,0.68,0,169.07,2.64,3.09,3.82,5.5,2.44
 96-106,12.91,40.99,11.09,824.69,1.38,0.61,0,73.15,1.39,0,4.74,1.15,0.73,0,37.63,0,66.17,3.31,3.36,1.81,5507.79,0,359.52,6.38,0,3.01,8.87,0,0,0.99,0,62.78,0,1.48,12.04,0,14.76
108-118,9.74,39.06,5.39,844.27,0.54,0.45,3.21,51.82,4.47,0.49,1.28,0.52,0,3.54,7.08,0,64.08,0,0.56,2.96,5611.66,0.69,225.9,1.28,0,1.58,4.99,0,0,0,0,111.03,7.43,0,2.23,0,0
120,5.42,38.43,0,1455.31,1.18,0,19.12,106.82,0,0,11.6,0,0,5.32,23.53,0,115.43,1.49,0,19.62,9113.65,0,260.38,2.92,0,0,29.83,0,0,0,0,190.71,0,0,22.39,0,15.67
