stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,0.83,1.75,1.1,1.31,0,0,0,0,0,0,0,1.21,0,0,42.37,9.45,0,0,0,0,1.88,2.46,39.59,0,0,0
 24-34,0,1.12,0,4.36,0,2.58,0,0,0,0.98,0,23.87,0,0,86,12.38,0,0,0,0.74,0,2.02,82.4,0,0,0
 36-46,0,0,0,1.62,0,4.65,0,0,1.03,0,0,58.09,0,0.55,71.58,0,0,0,0,0,0,0,101.52,0,0,0
 48-58,0,0,0,11.54,0,12.52,0,0,0,0,0,185.15,0,0.59,66.37,0,0,0,0,0,0,0,39.58,0,0.38,0
 60-70,0,0,0,7.32,0,3.8,5.02,0,0,0,0,250.44,0,1.61,41.08,0,0,0,0,0,0,0,23.68,0,0,0
 72-82,0,0,0.77,21.99,0,11.48,7.92,0,0,0,0,292.31,0,0,17.97,0,0,0.51,0,0,0,0,7.24,0,0,1.17
 84-94,0,0,0,13.47,0.77,0,18.42,2.84,0,0,0,301.76,0,0,9.87,0,0,0,0,0,0,0,1.48,3.04,0,0
 96-106,0,1.54,0,8.13,0,4.21,12.45,0,0,0,0,182.54,1.76,0,11.31,0,0,0,0,0,0,0,4.18,4.11,0,0
108-118,0,0.95,0,0.63,0,1.58,17.49,0,0,0,1.73,181.14,0,0,21.16,0,0,0,0.86,0,0,0,6.58,1.2,0,0
120,0,0,4.51,6.3,0,0,1.88,0,0,0,4.16,83.13,0,0,20.9,0,3.73,0,0,0,0,0,10.36,0,0,0
