stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,15.56,29.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.36,0,0,0,0,0,0,0,0,18.5,0,0,4.5,0,0,0,0
 10-12,0,0,0,8.14,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,0
 14-21,0,0,0,0,2.16,1.91,0,0,0,0,0,0.97,16.95,0,0.94,0,0,0.9,0,0
 24-34,0,0,0,0,0.62,1.62,0,0,0,0,0,0,18.72,0,0,0,1.5,3.85,0,0
 36-46,0,0,0,0,0,4.57,0,0,2.09,0,0,0.79,7.5,0,0,0,0.99,1.72,0,0
 48-58,0,0,0,0,0,14.72,0,0,0.86,0,0,0,9.28,0,0,0,0.86,5.04,0,0
 60-70,0,0,0,0,0,7.39,0,0,8.43,0,0,0,4.87,0,0,0,0,0.99,0,0
 72-82,0,0,1.09,0,0,6.51,2.97,0,5.01,0,0,0,12.74,0,0,0,0.67,0,0,0
 84-94,0,0,0,0,2.01,10.56,0,0.63,2.77,0,0,0,1.58,0,0,0,7.89,0,0,0
 96-106,0,0,0,0,0,0.61,5.1,0,3.75,0,5.07,0,3.48,0,0,0,2.09,0,0,0.69
108-118,0,0,0,0,1.44,7.79,0,0,0,2.33,0,0,6.94,0,0,0,1.89,2.45,0.43,0
120,0,0,0,0,0,0,0,0,0,0,0,0,3.27,12.08,0,0,0,0,0,0
