stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,29.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.99,5.47,0,0,34.05,0,0,0,8.97,0,0,0,0,0,0,0
 14-21,0,0,0,2.62,46.42,3.23,0,115.36,0,0,0,0,0,0,0,6.66,0,0,0,29.77,0,0,16.15,223.23,0.83,0,4.73,0,0,1.22,0.9,20.53,3.92,402.18,0,0,0,0,0.98
 24-34,1.76,0,0,0,68.21,11.23,0,349.46,0.68,0,0,0,27.46,0,0,35.7,0,0.74,4.18,216.19,4.16,1.77,109.26,896.3,10.1,0.82,10.33,0,1.14,2.96,0,43.75,0,1247.56,0,0,4.2,0,1.35
 36-46,0,0,0,0,3.78,1.22,0,255.63,0,0,6.28,0.59,51.69,0,0,60.49,0,0,0,416.94,0.68,11.6,116.48,693.54,0,7.42,6.46,0,0,6.94,0,30.19,0,865.39,0,0,0,0,0
 48-58,0,0,0,0,2.36,0.39,0,268.29,0,0.76,2.05,0,27.41,0,3.62,106.37,0,0.44,1.2,356.75,0,0,91.46,473.24,0,0,9.86,0,0,3.1,0,30.97,0,265.78,0,1.48,2.21,0,9.16
 60-70,0,0,0,0,0,0,0,253.22,0,0,41.6,0,5.55,0,0,179.87,0,1.8,10.1,280.3,1.27,0,65.91,338.98,0,0,0,0,0.71,0,0,12.3,0,84.07,0,2.54,1.06,0,0
 72-82,0,0,0,0,7.03,0,0,153.15,0,3.37,122.95,0.64,0.55,0,0,140.19,0,13.71,0.98,289.74,0,1.07,54.42,359.72,0,0,0,0,23.35,0,0,11.01,0,62.33,4.07,2.41,0,2.37,0
 84-94,0,0,0,0,7.32,0,0,263.66,0,0.77,145.56,2.47,5.11,0,0,186.09,0,9.15,3.63,238.83,1.01,8.26,50.72,363.98,0,1.13,1.54,0,5.37,0,0,25.06,0,63.55,0,11.27,0,0,9.02
 96-106,0,0,0,0,15.72,0,0,128.72,0.65,0,259.21,0,0,0.63,0,133.81,0.71,17.02,0,174.79,0.98,0.85,46.07,261,0,0.6,3.75,0,18.34,2.54,0,7.65,0,60.03,0,7.6,0,0,0
108-118,0,0,0.54,0,15.27,0.66,2.29,133.06,0,0,261.83,0.58,0,1.66,1.11,163.8,0,12.64,0,201.61,0,5.23,33.42,206.15,0,0,0,0,28.27,0,0,0,0,14.9,0,2.34,0,0,0
120,0,0,0,0,8.92,1.98,0,71.94,5.73,0,242.64,1.16,4.2,0,0,166.84,0,8.46,0,201.24,0,0,47.38,321.99,0,0,0,0,69.88,0,0,3.15,0,35.73,0,1.52,0,0,0
