stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,40.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.95,14.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.21,8.25,0,0,8.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.81,0,0,0.81,0,0.87,0,0,0,66.35,0,0,15.63,0.99,0,0,0,4.42,0,0,0,0,0,0,0,0,3.01,0,0,0,0,0
 24-34,0,0,0,5.99,0.85,3.11,0,0,0,1.9,0,4.24,1.06,49.75,0,0,3.4,0.59,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0
 36-46,0,0,0,0.56,0,0,0,0,0,11.48,0,4.59,0,45.53,0,0,24.03,0,0,0,1.72,18.79,0,0,0.61,0,0,0.65,0,0.65,0,3.46,0,0,0.72,0
 48-58,0,0,0,0,0,0,0,3.91,0,11.67,1.63,1.33,0,60.69,0,0,46.57,1.32,1.1,0.48,0.47,7.19,1.03,0,0,0,0,1.28,0,0.44,0,0,0,0,0,0
 60-70,0,0,0,0,0,4.65,0,16.49,0,19.77,0,0,0,71.08,4.82,0.76,73.88,21.72,0,0,6.31,27.31,0,0,0,0,0,0,0,0.76,0,2.51,0,0,0,0
 72-82,0,0,0,0,0,4.09,0,14.98,0,0,1.01,0,0,93.16,0,0,180.92,18.72,0.79,0,0.84,25.17,0,0,0,0,0.71,2.01,1.65,3.54,0,1.81,3.98,0.49,1,4.03
 84-94,0,0,0,0,0.57,6.45,0,7.4,0,1.36,2.45,2.31,0,95.37,0,0,794.29,4.89,3.16,8.27,1.92,49.59,0,0,0,0,0,2.97,0,12.73,0,0,0.56,0,0,3.37
 96-106,0,0,1.15,0,15.56,36.34,0,24.55,0,0,6.77,2.86,0,126.62,0.56,0,1253.19,92.6,1.92,4.02,3.66,144.32,0,0,0,0,0,11.67,0,13.26,0,1.73,0,1.08,2.1,40.22
108-118,0,0,0,0,5.73,26.82,0.72,49.41,1.25,4.16,13.26,0,0,134.39,0.8,10.17,2145.11,26.35,0,0,4.41,135.17,0.5,0.64,0.43,0,0,4.39,0,6.78,0,0.42,1.87,2.42,8.81,7.87
120,0,0,0,0,2.37,14.15,0,2.13,0,0,10.61,2.28,0,85.29,0,0,990.45,46.84,0,13.3,0,129.75,0,0,0,0,0,3.51,0,20.72,0,0,0,0,0,56.77
