stage,blastomeres,epidermis,eye,glial,gut,heart,immune,iridophores,mesenchyme,neural,notochord,periderm,vasculature
  5-6,7.89,0,0,0,0,0,0,0,0,9.46,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.41,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.29,0,1.6,3.97
 24-34,0,0,0,0,0,0,0,0,0,5.21,0,4.05,5.23
 36-46,0,1.33,0,0,0,0,0,0,0,0,0,0.84,1.47
 48-58,0,1.03,0,0,0.89,0,0.85,0,0.42,1.83,0,5.53,1.41
 60-70,0,0,0.78,1.54,0,0,0,2.04,0,0,0,0,0.82
 72-82,0,0,0,0,0,0,0.49,0,0,0,0,0,0.88
 84-94,0,0,0.91,0,0,0,8.33,0.96,0,0,0,0,1.97
 96-106,0,0,0,0,0,0.86,8.79,0,0,0,0,0,2.53
108-118,0,0,1.19,0,0.45,0,5.93,0,0,1.53,0,0,0.96
120,0,0,0,0,0,0,13.34,0,0,0,2.47,0,1.44
