stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,126.53,4667.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.72,0,0,0,0,0,0
  5-6,0,626.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,7.14,0,0,0,0,0,0
  7-9,0,11.85,20.36,0,0,5.35,0,0,0,0,9.56,0,0,0,0,0,75.23,0,0,0,30.54,0,0,0,0,0,0,0
 10-12,0,6.4,12.73,0,0,8.51,0,0,0,0,0,0,0,0,0,0,97.93,18.75,0,0,10.66,0,20.72,0,41.92,0,0,0
 14-21,0,0,0,6.61,1.92,4.19,0,0,2.55,0.97,0,0,0,0.9,0,0,17.13,0.95,0,0,0.85,0,0,3.99,0,3.36,7.89,0
 24-34,0,0,0,5.02,0,4.24,0,0,0.62,0,0,0,0,8.05,0,3.14,49.31,0.7,3.29,0,0,0.68,0,0,0,0.93,12.4,1.13
 36-46,0,0,0,0,0,0.71,0,0.67,1.69,0,0.76,0,0,8.53,0,2.65,9.4,0,0,0,0,0,0.81,0,0,0,4.84,0
 48-58,0,0,0,0,0.69,0.81,0,0,5.26,0,0,0,0,13.22,0,0.72,18.01,0,0,0,0,0,0,0,0,0,1.46,0
 60-70,0,0,0,0.87,0,1.52,0.86,0.57,0,0.57,0,0,0,3.75,0,0.77,9.84,0,0,0,0,3.17,0,0,0,0,1.5,0
 72-82,0,0,0,0,0,3.66,0,0.59,0,0,0,0.89,0,10.17,0,1.93,0.62,0,0,0,0,0,0,0,0,0,0,2.54
 84-94,0,0,0,0,0,0,0,0,2.09,0,0,0,0,2.49,0,1.79,0.77,0,0,0,0,0.6,0,0,0,0,0,1.4
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.81,0,0.58,0,0,1.97,0.48,0,0,1.18,2.3,1.4,1.88,0,0,0,0.52,0,0,0,0,0.87,0,0,0
120,0,0,0,0,0,0,0,1.29,4.53,0,0,0,0,9.06,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0
