stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,4.08,0,0,0,0,1.43,0,0,4.03,2.28,0,0,0,0,0,0,1.27,0,0,0,0
 24-34,0,0.8,0,0,0,0,0,0,0,15.09,3.22,0,0,0,4.95,0,0.69,2.81,8.99,0,0,0,7.79,0.88,0,1.77,0,0,0,0.79
 36-46,0,0.63,0,0,0,0,0,1.52,0,1.2,24.76,0,0,0,6.41,0,6.56,0.62,4.28,0,0,0,1.78,0,0,1.59,1.04,0,0,0
 48-58,0,0,0.69,1.65,0,0,0,0,0,1.8,53.19,0,0,0,8.22,0,39.84,0,10.67,0,0,0,1.82,0.41,0,3.34,3.57,0,1.8,0
 60-70,0,0,5.39,2.4,0,0,0,0,0,5.1,57.91,0,0,0,12.13,0,82.73,1.4,4.77,0,0,8.81,27.06,0,0,13.53,22.52,0,22.41,0
 72-82,0,4.23,60.04,22.59,3.95,5.41,0,3.64,2.07,5.21,154.18,0,0,0.62,94.26,0.51,217.93,2.64,21.84,0,1.87,36.96,29.53,0,1,15.83,82.47,3.53,229.52,0
 84-94,0,2.3,27.04,21.12,0,0,0,5.45,0,10.61,162.59,0,0,0,66.8,0,149.43,2.82,3.51,0,4.44,3.1,15.81,0,31.37,6.73,84.58,5.55,248.26,0
 96-106,0,1.77,64.43,14.96,0.71,1.19,0,6.19,3.01,12.2,172.35,0.87,1.11,8.88,120.11,0,98.1,10.11,41.41,0.64,0,11.86,100.05,1.52,1.71,3.63,47.16,13.11,185.19,0
108-118,0.72,0,41.28,14.3,0.58,0.46,0,2.23,6.66,10.23,201.3,0,0,0,126.25,0,159.3,20.39,59.99,0,0,1.8,191.72,1.06,1.04,5.45,72.19,9.99,291.91,0
120,0,5.2,13.18,31.48,0,0,15.29,0,0,17.67,389.67,0,0,0,241.13,0,193.93,2.56,104.02,0,0,7.7,387.22,0,0,19.52,105.59,10.11,580.12,0
