stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1.19,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,1.29,24.31,0,0,0.91,0.86,0,0,1.21,0,0,11.3,0,0,0,0,0
 24-34,0,0,7.78,0,0,8.05,0,0,0,2.52,0.66,1.37,0,0,0,0,0,0.6,13.83,0,0,1.36,452.29,0,0.95,0.76,0,0,1.68,0,0,0.66,69.88,0,0,0,0,0
 36-46,0,0,1.17,0,0,42.41,0,0,0,14.55,0,0,0,0,0,0,0,0,24.5,0,0.8,1.4,1619.88,0,4.13,2.15,0,7.92,25.28,0,0,0,190.41,0,0,0.81,0,2.61
 48-58,0,0,2.73,1.07,0,312.5,0,3.89,6.69,57.38,0,0.66,0.69,0,0,0.97,0,13.18,76.81,0,9.68,3.57,3240.49,0,7.69,4.37,0,0,4.87,0,0.52,0,462.65,0,0.64,0.46,0,13.03
 60-70,0,0,7.85,0,0,1096.12,0,0.94,1.67,59.61,1.11,10.28,0,0,0,0,2.74,0,122.24,0,17.18,9.31,4649.06,0,9.43,14.29,0,0,6,0,0,0,569.46,0,5.7,0.84,1.13,21.36
 72-82,0,1.49,15.84,2.98,0,1623.47,0,0,3.9,116.81,0.71,1.37,7.82,0,0.57,0.79,2.13,0,186.83,0,19.65,10.73,3958.24,0,8.5,1.64,0,2.47,7.48,0,0.65,0,479.96,1.16,5.19,1.02,1.8,18.98
 84-94,0,0,15.28,3.89,0,1074.33,0,0,0.71,97.53,6,0,1.26,1.25,9.08,0.69,1.56,3.09,138.35,1.82,3.86,9.07,2150.75,0.62,3.76,1.14,0,0.77,7.89,0,0.74,0,214.2,1.14,1.61,7.63,7.8,5.12
 96-106,2.68,1.36,15.31,35.74,0,905.45,0,0,4.81,79.16,1.53,1.61,1.72,9.11,11.38,1.87,3.84,0.71,200.54,6.46,5.34,12.35,1834.59,0,7.32,12.21,0,14.1,10.03,0,0.67,0,139.44,0,5.15,15.63,2.25,25.16
108-118,0,0,28.81,10.77,0,815.17,0,0.5,0,112.85,0.8,1.43,3.1,0,12.85,2.41,3.98,0.51,200.97,0.53,9.31,13.16,2377.22,2.5,3.2,3.42,0,0,1.32,0,0.94,0,80.14,4.86,1.78,7.36,7.82,3.71
120,0,1.22,13.4,4.05,1.89,817.57,1.01,1.39,4.05,59.87,3.16,0,5.15,0,5.74,1.34,3.69,0,218.7,0,2.47,12.07,3443.93,3.06,0,7.6,0,2.67,4.04,0,0,0,101.09,0,0,1.46,13.58,0
