stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,0,413.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.33,0,0,0,0,0,0
  5-6,0,198.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.09,0,0,0,0,0,0,0,0,0,0
  7-9,16.33,0,0,14.63,0,0,4.76,0,0,0,0,0,10.61,0,0,0,0,0,0,0,0,0,175.79,0,0,36.58,0,0,0,0,0,0,0
 10-12,0,0,0,7.22,0,0,11.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.8,0,0,57.13,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.45,0.97,1.17,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,10.27,0,0,0,0,2.12,0,0,1.88,0,0
 24-34,0,0,0,0,2.26,0,0,0,0,0,2.46,0,0,0,0.6,0.64,0,0.76,0,5.66,0,4.25,19.47,0,0,0,4.47,0,0.97,0,6.01,0.71,0.76
 36-46,0,0,0,0,0,0,2.02,0,0,0,2.05,0,0,0,0,0,0,0,0,3.44,0,0,16.85,0,0,0,1.09,0,0,1.91,5.61,0,2.73
 48-58,0,0,0,0,0.41,0,2.64,0,0.44,0,0.66,0,0,0,0,0,0,0,3.78,1.25,0,0,14.4,0,0,0,0,0,0,0,3.92,0,0
 60-70,0,0,0,0,0,0,6.06,1.1,0,0,0.68,0,0,0,0,0,1.26,0,0,2.89,0,0,22.59,0,0,0,0,0,0,0,7.84,0,0
 72-82,0,0,0,0,0,0,16.08,0,0,0,1.37,0,0,0,0,0,0,3.49,0,1.42,0,0,49.93,0,0,0,1.45,0,0,0,0,2.21,0
 84-94,0,0,1.14,0,0.56,0,17.74,0,0,0.62,13.99,0,0,0,1.03,0,0,0,0,3.71,0.76,2.49,21.24,0,0,0,6.44,0,0,0,5.17,0,0
 96-106,0,0,0,0,1.95,0,14.05,0,0,0,6.2,0,0,0,0.83,0,0,0,0.57,7.96,1.63,0,55.47,0,0.86,0,8.19,0,0,0,2.11,0,0
108-118,0,0,0.76,0,0,0,54.55,0,0,0,7.24,0,0,0,2.16,0,0,0.81,0,7.52,0,0,57.13,0,0,0,13.82,0,0,0.43,6.36,0.54,2.21
120,0,0,0,0,1.96,4.98,70.49,0,0,0,22.6,1.09,0,1.85,0,4.52,0,1.5,0,0,0,10.51,170.09,1.48,0,0,3.24,0,0,0,8.24,0,0
