stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.1,67.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.72,0,0,0,0,0,0,0,0,0,0
  5-6,58.61,830.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.68,0,0,0,0,0,0,0,0,0,0
  7-9,18.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.45,29.35,0,0,85.08,0,3.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,24.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.21,0,0,0,50.26,0,6.67,8.5,0,0,7.77,0,0,0,0,0,0
 14-21,0,0,0,0,16.97,7.75,0,0.81,0,0,0,0,0,0,0,127.25,0,0,0,0,0,0,0,1.08,9.65,0.92,0,0,0,0,3.95,0,11.43,2.75,10.38,4.07,0,0,5.18,0,0
 24-34,0,0,0,0.7,2.98,9.07,0,4.65,0,0,0,0,2.86,0,0.62,163.98,0,0,0,0,9.63,0,0,4.29,37.28,0,1.37,0,0,0,34.97,0,0,5.99,0,6.16,0,0,14.02,0,0
 36-46,0,0,0,0,4.45,0,0,11.76,0,0,2.88,1.94,0,0,0,190.98,0.61,0.56,2.53,2.68,23.29,0,0,2.38,125.67,0.63,5.63,5.39,0,0,156.79,0,0,5.29,0,20.87,0,0,12.52,0,0
 48-58,0,0,0,0,5.15,0,0,12.18,0.68,4.23,0,1.74,0.38,2.77,0.9,207.87,0,7.18,5.03,0,9.61,0,0,0.94,20.87,1.72,1.98,0.6,0,0,99.08,0,0,6.77,0,11.34,0,0,13.64,0,0
 60-70,0,0,0,0,11.57,0,0,7.43,0,1.57,0,0.88,0.66,0,0.98,254.23,2.3,0,9.88,0,18.9,1.12,1.02,0,16.09,0,0.7,6.36,0,0,256.92,0,0,0,0,0,0.61,0,0.58,0,0
 72-82,0,0,12.09,0,7.43,0.5,0,48.91,0,0,0.69,26.92,2.04,0,0.89,235.06,0.63,0,13.2,0,63.43,1.14,6.92,6.88,108.58,0,3.93,0,0,0,239,0,0,0.68,0,11.33,0,2.56,16.91,1.64,9.27
 84-94,0,0,8.22,0,7.88,5.81,0,22.29,0,1.23,2.62,2.13,0,0,0,351.69,7.21,0,7.01,0,25.06,0,2.68,4.49,12.78,0,6.2,0.78,0,0,759.22,0,0,2.55,0,4.83,0,2.07,19.63,0,0
 96-106,0,0,11.54,0,44.46,6.42,0,16.62,0,7.73,0,7.78,1.02,0,1.99,393.54,5.49,1.97,3.02,19.76,89.42,14.03,4.79,6.37,60.78,0.57,2.68,0.65,0,0,818.05,0,0,0.71,0,10.16,1.13,3.55,25.55,6.8,6.14
108-118,0,0,9,0,33.71,0.85,0.45,23.95,0,13.47,2.7,14.67,4.42,0,0.92,268.73,9.4,0,1.84,0,59.5,14.19,0,0.91,69.48,0,9.38,7.34,0,1.83,725.72,0,0,3.53,0,2.71,0,3.84,11.49,2.76,3.75
120,0,0,13.01,0,31.77,0,0,19.07,1.95,11.06,0,0,0,0,8.23,393.33,6.8,0,4.71,0,63.41,8.31,0,1.02,42.06,7.16,4.27,2.83,0,0,456.49,0,0,0,0,0,0,0,29.54,25.37,0
