stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.19,103.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.32,132.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.75,0,0,0,0,0,0,0,0,0,0
  7-9,0,15.07,0,0,0,0,0,9.74,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,185.25,7.16,0,0,47.61,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.34,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.69,13.93,0,0,64.06,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.76,8.63,0.88,0,1.32,0,0,0,1.22,0,0,1.34,0,0,0,0,0,1.76,0,0,3.85,39.3,0,0,5.1,0,0,0.9,4.48,0,3.83,9.37,0,0,0,0,0
 24-34,0,0,0,0,3.22,0,0,10.36,0,0,0,0.85,0,0,0,0,0,0,0,0,9.02,1.33,0,0.93,76.16,0,1.36,0,0,1.82,0,0,0,1.64,11.62,0,0,1.96,0,0
 36-46,0,0,0,0,0,0,0,8.76,0,0,0,5.2,0,0,0,0,0,0,0,0,4.7,1.54,1.73,1.67,82.29,0,4.85,0,0,2.38,0,0,0,0,16.84,0,0,0,0,1.07
 48-58,0,0,0,0,1.76,0,0,25.04,0,0,0,7.9,0,0,0,0,1.1,0,0,0,11.18,0.55,0,1.76,103.94,0,0,0,0,1.45,0,0,0,0,19.88,0,0,0,0,4.92
 60-70,0,0,0,0,0.88,0.81,0,34.89,0,1.14,0,7,0,0,0,0,0,1.56,0,8.43,16.85,0,0,0,88.75,0,3.41,2.13,0,2.72,0,0,0,0,12.63,0,0,0,0,1.82
 72-82,0,0,0,0,1.13,0,0,35.35,0,1.29,0.63,9.34,0.64,0,0,1.66,0,0,0,0,26.31,0,1.15,3.08,67.8,0,4.43,1.42,0,3.16,0,0,0,0,4.24,0,0.85,4.13,0.74,0
 84-94,0,0,3.38,0,2.66,13.76,0,28.11,0,0,0,17.17,6.3,0,0,0,1.88,0,0,0,25.63,0.57,5.04,0.82,44.79,0.7,0,0.59,0,6.61,0,0,0,0,12.08,0,0,2.29,0,2.58
 96-106,0,0,0,0,3.98,0,0,18.68,0,0,0.76,17.4,2.28,0,0.61,0,0,0,0,0.68,18.12,0,0,0.9,29.9,0,2.52,0.79,0,2.04,0,0,0,0,1.53,1.08,0,1.42,0,0
108-118,0,0,0.79,0,5.76,1.23,0.5,13.75,1.02,0,0.53,21.66,0,0,2.49,1.45,3.82,2.16,0.43,0,28.11,0,0,0.76,59.04,0,1.28,0.43,0,1.88,0,0,1.66,0,10.96,0,1.98,2.61,0,9.82
120,0,0,0,0,15.5,0,0,55.19,0,0,0,28.87,2.69,0,7.39,1.79,0,0,1.45,0,19.77,0,1.38,2.28,66.44,0,3.29,0,0,2.64,0,0,0,0,10.48,0,0,2.19,0,0
