stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,54.99,631.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.95,0,0,0,0,0,0,0,0,0
  5-6,35.35,509.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.13,0,0,0,0,0,12.52,0,0,0,0,0,0,0,0,0
  7-9,16.66,0,0,3.29,0,0,0,0,0,0,0,0,0,19.47,0,0,0,0,0,0,0,0,0,0,0,207.27,5.22,0,0,60.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.05,0,7.71,0,0,0,8.39,0,0,0,0,0,13.7,0,0,0,0,0,0,0,0,0,0,0,146.03,5.29,0,0,55.6,0,6.22,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.69,1.24,0,7.25,0,0,0,0,0.98,1.79,0,0,3.55,0,0,0,0,0,0,0,0,43.82,0.89,0,0,0,0,6.37,18.51,3.42,2.48,9.04,0,0,0,0,1.35
 24-34,0,0,0.75,0,9.27,0,0,5.78,0,0,0,1.56,0,0.67,0,0,16.52,0,0.86,0,0,3.31,4.3,0,0,70.72,0.74,5.39,0.61,0,0,13.67,0,1.83,1.44,10.25,0,0,3.59,0,0
 36-46,0,0,0,0,17.76,0,0,17.37,0,0,0,3.04,0,0,0,0,4.11,0,0,1.96,0,5.43,2.41,0,1.42,119.5,2.38,3.38,2,0,0,33.84,0,0,0,21.7,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,45.51,0,0,0,18,0,9.61,0.59,0,0.37,0,0.5,0.7,2.66,4.65,5.73,1.17,0,87.25,0,4.57,0.39,0,0,16.69,0,0,0,8.66,0,0,4.36,0,3.23
 60-70,0,0,0,0,0.7,0.82,0,45.69,0,1.27,0,37.53,0,2.21,0,1.32,12.27,0,0,0,1.05,20.6,12.37,0,0,89.17,0,14.33,1.63,0,0,21.48,0,0.71,0,32.31,0,0,0,0,0.69
 72-82,0,0,4.28,0,8.03,4.92,0.9,82.9,0,0,0.94,31.72,4.59,0.59,1.86,2.09,3.16,2.41,3.95,5.88,0.49,38.06,8.88,2.53,5.07,117.16,0,4.22,5.87,0,2.35,18.43,0,0.51,0,12.7,1.43,3.83,4.49,0,0
 84-94,0,0,0,0,13.81,20.72,0,81.53,0,1.28,0.78,24.1,12.3,0,0,6.42,6.2,1.31,3.3,0,2.87,19.86,0,0,6.99,72.74,0,2.17,8.56,0,0.6,51.72,0,0,0,8.71,3.92,0.88,3.07,0,0
 96-106,0,0,1.05,0,20.47,4.62,1.59,113.93,1.19,1.34,7.78,30.83,11.67,0,0.78,24.42,13.53,0.8,1.13,0.59,0.65,26.75,15.13,0.62,1.36,131.61,0,12.56,6.24,0,0,87.92,0,0,0,8.09,5.38,3.79,5.62,1.22,0
108-118,0,0,3.12,0,19.97,9.16,4.94,80.54,0,3.57,3.04,44.3,18.77,0,0.74,13.88,9.69,6.09,1.33,9.86,0,55.1,7.02,2.57,2.59,112.38,2.19,10.85,10.95,0,0,49.56,0,0,0,3,4.3,1.16,2.59,1.04,6.83
120,0,0,3.01,1.28,93.36,4.26,1.14,72.57,0,11.22,0,92.04,12.97,0,0,48.03,14.97,5.28,7.09,0,1.61,81.35,3.96,4.22,1.99,95.69,7.74,12.19,21.18,0,0,73.61,0,3.08,0,15.64,8.98,3.79,16.51,0,0
