stage,axial,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,neural,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,21.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,15.42,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,8.28,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,18.19,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0
 48-58,0,0.43,0,0.48,0,0,0,0,48.83,0,0,0,0,0,3.27,0,0,0,0.56,0,0,0,1.38
 60-70,0,8.15,0,0,0,0,0,0,19.76,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0
 72-82,0,54.18,0,4.47,0.6,4.77,0,0,36.98,1.59,0,0.62,0,0,4.03,0,0,0,0,7.56,0,0,0
 84-94,0,104.81,0,0,3.65,0,8.36,0,42.05,0.83,0,2.53,0,2.23,0,0,0,2.73,0,14.74,0,0.72,0
 96-106,0,229.28,7.36,13.43,5.55,0,36.65,0,48.41,5.14,2.16,3.91,0.57,0,9.91,0,4.03,0,0,22.38,0.78,0,0
108-118,1.01,348.5,0,2.25,22.43,5.65,103.05,0,26.94,1.68,0,3.99,0.94,0,7.18,0.95,0,3.86,0,73.24,0,2.39,0
120,0,225.6,0,5.32,15.52,5.44,22.18,0,16.96,2.67,0,9.76,6.36,0,25.46,0,0,0,0,22.17,0,1.99,0
