stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,mural_cell,muscle,neural,notochord,spinal_cord,visceral_smooth_muscle
 14-21,9.33,0,0,0,0,2.57,0,0,0,1.05,0,0
 24-34,3.34,1.67,0,0,0,2.12,0,0.63,9.79,0,1.88,0
 36-46,2.5,0,10.73,0,0,1.98,0,0,0,0,0,0
 48-58,0,0,0,0,0,4.33,0.4,0,0,0,0,0
 60-70,0.68,0,0,0,0,4.34,0,0.76,0,0,0.67,0
 72-82,0,0,0,0.69,0.93,3.03,0,0,1.55,0,1.29,0
 84-94,0,0,0,0,0,6.88,0,0,0,0,0,0
 96-106,0,2.22,0,0,0,1.92,0,0,0,0,0,0
108-118,0,0.79,0,0,0,6.54,0,0,0,0,0,1.1
120,0,0,0,0,0,9.78,0,0,3.75,0,0,0
