stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,330.36,6355.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.42,0,0,0,0,0,0,0,0,0,0
  5-6,88.47,1837.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.38,0,0,11.07,7.41,0,0,0,0,0,0,0,0,0,0
  7-9,7.64,22.89,0,6.23,0,0,14.58,0,0,0,5.88,0,0,0,0,0,0,374.42,0,0,103.48,0,24.98,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.98,0,0,9.4,0,0,0,10.45,0,0,9.05,0,0,0,102.42,10.41,0,32.7,0,11.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.43,2.52,0,1.7,0,0,0,0,0,0,335.6,0.95,0,1.27,12.65,0,0.88,0,0,1.8,1.94,0,2.04,10.09,0,0,0.91,0,0
 24-34,0,0,0,3.62,0.59,0,0.69,0,0,1.99,0,0,0,38.13,0,0,2.31,35.65,0,0,0,0,0,0,0,0,5.45,0,0,0,0,0
 36-46,0,0,0,0.63,0,0,0,0,0.61,0,0,0,0,20.12,0,0,0,26.96,0,0,0,0,0,0,0.58,0,9.31,0,0,0,0,0
 48-58,0,0,0,0,0,0,4.77,0,2.21,0.67,0,0,0,0.46,2.17,0,0.4,66.24,0,0,0,0,0,0,0,0,7.8,0,0,0,0,1.96
 60-70,0,0,0.7,0,2.77,0,0.69,0,2.42,15.4,0,0,0,4.5,0.84,0,0,145.81,0,0,0,0,0,0,0,0,35.38,0,0,0.79,0,0
 72-82,0,0,0,0,0,0.5,40.63,0,4.63,154.29,0,0.53,0,4.86,0,0,0.66,150.32,0,0,0,2.2,0,0,0.5,0,42.13,0,0,0,0.69,0
 84-94,0,0,2.87,0,0,0,17.3,0,1.37,137.84,0,0,0,3.46,0.69,0,0,56.28,0,0,0,0,0,0,0.77,0,53.23,0,1.07,0,2.93,0
 96-106,0,0,0,0,0.6,0,31.16,0.64,0.8,216.52,0,0,0,2.37,0.57,2.08,1.26,40.49,0,0,0,1.55,0,0,0,0,11.59,2.04,2.26,0,0,0
108-118,0,0,0,0,0.51,0,28.74,0.53,5.99,81.33,0,0,1.37,31.01,10.23,0,0.86,89.08,0,0,0,0,0,0,0,0,4.97,0.71,0.66,0,0,0
120,0,0,0,0,0,0,23.39,0,0,184.81,0,0,1.87,19.25,0,0,0,142.64,0,0,0,0,0,0,0,0,18.87,0,0,0,0,0
