stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,ionocyte,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle
  3-4,12.66,925.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.78,0,0,0,0
  5-6,31.19,704.37,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,0,0,15.67,0,0,0,0,0
  7-9,0,0,5.78,0,0,0,0,0,0,0,0,0,0,0,0,46.96,0,0,4.86,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,19.47,0,0,0,0,0,0,106.99,25.83,0,0,0,0,0,0,0
 14-21,0,0,0,7.44,0,7.6,0,12.64,0,0,0,0,0,8.33,0,365.98,4.69,1.48,0,1.97,2.31,0,22.79,0
 24-34,0,0,0,2.05,0,9.83,0,104.31,0,0,0.66,0,0,3.05,4.05,361.34,0,5.84,0,0,0,0.79,84.28,0
 36-46,0,0,0,0,0,4.92,0,64.49,0,0,0,0,0,0.6,0,114.26,0,2.38,0,0,0,0,15.11,0
 48-58,0,0,0,0,0,15.1,3.76,28.3,0,0,0,0,0.99,2.03,0.69,76.9,0,0.82,0,3.84,0,0,4.36,0.89
 60-70,0,0,0,3.99,0,15.88,0,29.32,0,0,0,0.77,0,2.38,0,106.7,0,0.63,0,0,0,0,0.87,0
 72-82,0,0,0,2.18,0,10.38,1.95,14.35,0,1.8,0,0,0,6.66,0,220.79,0,5.44,0,0,0,0,4.97,0.87
 84-94,0,0,0,1.01,0,7.59,0,31.04,0,0,0,0,0,0,0,133.33,0,13.11,0,3.33,0,0,0,0
 96-106,0,0,0,1.09,1.09,3.7,0,10.85,0,0,0,0,0,1.73,0,54.04,0,7.65,0,0,0,0,0,0
108-118,0,0,0,0.43,1.04,17.44,0.95,12.82,0,0,0,0,0,2.68,0,71.61,0,17.47,0,0,0,0,0,0
120,0,0,0,2.51,3.45,0,2.08,31.67,0,0,0,0,0,0,0,73.17,0,23.81,0,0,0,0,0,0
