stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,29.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.83,0,17.92,0,21.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.15,12.8,0,0,22.07,0,0,7.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,7.88,2.26,0,18.43,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,2.09,110.96,0,0,0,0,0,0,0.86,0,5.77,18.64,0,0,0,0,0
 24-34,0,0,3.77,0,0.99,0,0,93.08,0,0,0,4.3,0,0,0,0,5.61,0,0,0,0,3.94,0,0,4,358.91,0,2.39,0,0,0,0.68,1.27,0,0,55.3,0,0,3.44,0,0
 36-46,0,0,2.81,0,0.55,0,0,708.85,0,0,0,0,0,0,1.81,0,0,0,0,0.72,0,1.65,0,0,2.09,597.95,0,1.31,0,0,0,1.35,0.88,0,0,41.28,0,0,0,0,0
 48-58,0,0,0,0,7.34,0,0,6596.32,0,0,0.63,27.14,0,0,0.87,0,0,17.76,0,0,0,17.93,0,14.41,7.48,1099.01,0,1.95,0.54,0,0,4.21,0,0,0,42.17,0,2.55,3.45,0,0
 60-70,5.05,0,0,0,74.32,0.64,0,46684.48,1.33,3.02,0,80.39,0.6,0,1.83,11.2,0,8.58,0,0,0,71.96,0,5.21,8.49,1192.19,2.27,0,6.14,0,0,23.6,19.56,0,0,41.82,0,6.61,13.4,1.63,7.21
 72-82,0,0,7.01,0,239.29,18.13,0.87,74983.55,4.25,21.71,24.07,507.35,10.95,1.34,2.86,8.57,6.98,9.22,0,31.76,4.64,187.13,5.98,13.63,6.19,3049.22,0,5.98,9.76,0,2.61,20.5,4,0,0,72.17,4.21,5.79,15.33,12.86,38.08
 84-94,0,0,1.65,0,255.34,28.23,0,57662.36,8.59,65.42,8.6,864.54,14.73,0,5.4,6.05,3.28,11.21,5.09,3.53,2.73,205.14,3.72,15.98,38.51,2301.65,14.92,2.71,12.43,0,0,29.54,1.18,2.72,0,54.13,2.62,16.22,31.95,19.68,3.69
 96-106,0,0,4.84,0,200.82,67.19,4.67,67250.86,7.49,25.18,3.8,785.93,16.71,0,41.52,50.65,0.67,17.27,0,113.2,3.42,231.21,5.2,10.75,28.96,2773.94,6.11,15.47,7.89,0,13.42,39.56,10.61,2.59,0,28.39,29.41,17.42,25.29,15.67,11.46
108-118,0,0,0.93,0,283.7,21.28,1.31,53922.57,0.54,16.01,14.53,452.46,7.53,0,0,18.62,2.2,7.97,0,11.66,8.98,184.68,0.48,51.55,32.42,2722.76,9.69,7.72,49.81,0,0,25.23,3.57,0,0,51.47,32.73,4.71,9.51,24,24.49
120,0,0,2.52,0,297.28,0,5.29,30987.29,26.79,19.2,37.96,853.18,13.29,0,20.02,16.8,6.19,16.69,13.16,40.39,0,197.78,2.91,0,28.19,5350.4,16.27,3,11.82,0,0,47.72,0,0,0,20.05,0,9.3,0,0,67.02
