stage,axial,blastomeres,endoderm,epidermis,eye,gut,hatching_gland,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.92,60.77,0,0,0,0,0,0,0,0,0,9.79,0,0,0,0,0,0
  7-9,4.72,0,4.03,0,0,0,0,0,0,0,0,14.75,0,0,8.83,0,0,0
 10-12,0,0,4.28,0,3.32,0,9.24,0,0,0,0,20.97,22.4,0,42.39,0,0,0
 14-21,0,0,0,0.96,0,0,1.86,0,0,1.36,0,0.88,3.37,0,0,1.01,0.95,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0.75,0
 36-46,0,0,0,0,0,0,0,0,0,0.7,0.68,0,0,0,0,0,0,0
 48-58,0,0,0,0,4.84,0,0,0,0,1.49,0,0,4.28,0,0,0,0.78,0
 60-70,0,0,0,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.54,0,0,0,4.47,0,0,2.04,2.59,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0
