stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,mesenchyme,mucous,mural_cell,muscle,neural,periderm,spinal_cord,vasculature
  3-4,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.34,0,0,0,0,0,3.17,1.89,2.5,0
 24-34,0,0.77,0,1.21,0,0,0,0.89,0,0,3.19,19.51,0,2.07,3.98
 36-46,0,0,0,15.19,0,0,0,0,0,0,0.71,2.79,0,1.45,0
 48-58,0,6.5,0,3.55,0,1.28,0,0,0.39,0,0,11.53,0,0,0
 60-70,0,0,0,6.98,0,0,0,1.68,0,0.69,0,29.8,0,0,0
 72-82,0,0,0,6.11,0,0,0,1.3,0,0,0,18.35,0,0,0
 84-94,0,0,0,1.98,0,0,2.51,0,0,0,0,11.68,0,0,0
 96-106,0,0,0,16.19,0,0.97,0,1.12,0,0,0,9.35,0,1.5,0
108-118,0,0,0,13.05,0.54,0,0,1.39,0,0,0.99,7.56,0,0,0
120,0,0,1.53,6.07,0,17.27,0,0,0,0,0,52.05,0,0,0
