stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,311.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0,0,0,0
  5-6,21.82,156.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,12.38,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.28,0,0,0,10.34,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.61,1.25,0,0,0.99,0,0,0,0,0,0,0,0,17.93,0,0,0,0,0,0,0,0.83,0.95,22.49,0,0,0
 24-34,0,0,0,0.85,0,6.74,0,0,6.69,0,0,0.64,0,0,0.71,0,3.66,181.77,0.67,5.19,0,0,0,0,0,0,0.66,79.65,0,0,0
 36-46,0,0,0,0,0,5.82,0.62,0,3.13,0,0,0,0,0,0,0,0,489.83,0,8.12,13.17,0,0,1.12,0,0,0,91.49,0,1.02,0
 48-58,0,0,0,1.22,0,74.98,0,0,8.14,0,0,0,0,0,0.9,0,2.16,561.62,0.39,0.62,0.42,6.64,0,0,0,0,0,96.7,0,0,0
 60-70,0,0,0,0,0,135.93,0,0,28.56,0,0.58,0,0,7.36,16.79,1.33,0,685.97,1.33,0.96,0,0,0,3.51,0,0,0,135.23,0,0.72,0
 72-82,0,0,0,0.54,0,174.42,0,0,66.65,2.23,0,0,0,0,1.97,0,0,621.33,0,4.57,3.35,0,1.05,2.46,0,0,0,78,0.82,0.86,8.31
 84-94,0,0,0,3.25,7.48,118,0,0.77,25.41,0.62,0,0,17.87,8.01,9.24,0,0,425.84,0.65,0,10.99,0,0,0.83,0,0,0,64.44,0,10.12,0
 96-106,0,0,0,4.2,0,139.77,0,0,32.72,0,1.22,0,0,0,7.15,0,0.96,321.75,0,2.73,0.98,0,0,0.56,3.39,0,0,20.95,0.61,0,0
108-118,0,0,0.54,0.65,1.1,161.89,0,0,63.39,0.62,1.1,0,0.94,0,9.47,0,0.42,391.41,0,1.49,2.69,0,0,0,0,0,0,19.44,0.54,0,0
120,0,0,0,13.94,0,254.25,0,3.44,91.47,0,18.14,0,0,0,11.33,0,0,1013.36,0,2.49,2.28,0,0,8.7,0,0,0,25.22,0,1.48,0
