stage,blastomeres,endoderm,epidermis,eye,glial,gut,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  5-6,41.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0
  7-9,4.5,0,0,6.82,0,0,0,0,0,0,0,13.72,0,0,0,7.59,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,13.26,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.71,0,0,0,0,1.02,0,0,11.21,0,0,0,0,1.92,1.23,0,0,0.81,4.67
 24-34,0,0,2.21,0,0,0,0,0,0,0,0,22.08,1.17,0,0,0,0,0,0,1.32,0,2.49
 36-46,0,0.56,0.65,2.43,0,0,0,0,2.64,0,0.86,4.18,0,0,0,0,0,0,4.09,0,0,4.06
 48-58,0,0,0,0.41,0,0,0,0,0.82,0,0,0.8,0,1.18,3.98,0,0,0,0,0,0,2.99
 60-70,0,0,0,10.18,0,0,0,0,0,0,0,13.06,0,0,0,0,15.13,0,0,0,0,0
 72-82,0,0,0,8.97,1.14,0,0.66,0,0,0.51,0,9.29,0,2.57,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0.78,0,0,0,0,0
108-118,0,0,0,21.51,2.65,2.19,0,5.85,0,0,0,2.62,0,1.46,0,0,0,0,0,0,0,0
120,0,0,0,0,5.51,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
