stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,mesenchyme,muscle,neural,notochord,olfactory,periderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,52.94,0,0,0,16.76,0,0
 24-34,0.74,0,0,0,0.82,0,0,0,0,0.78,0,495.94,0,0.94,0,12.99,0,7.43
 36-46,0,5.75,1.01,2.38,0,0,1.6,0,0,0.76,0,1086.66,0,0,0,49.49,0,0
 48-58,0,0,22.79,0.44,0,0.45,3.23,0,0.92,5.25,0.57,770.55,0.94,0,0,15,0,1.04
 60-70,0,0,6.94,0,0,0,1.68,3.09,0,11.85,0,208.52,0,0,0,3.01,2.26,0
 72-82,0,0,26.22,0,0,0,4.52,0,0,0,0,112.43,0,0,0,0,0,2.76
 84-94,0,0,0,0,0,0,0,0,0,0,0,54.58,0,0,0.6,0,0,0
 96-106,0,0,15.01,0,0,0,0,0,0,1.15,0,27.74,0,0,0,0,0,0
108-118,1.49,0,0,0,0,0,0,0,0,0,1.25,134.69,0,0,0,0,0,0
120,0,0,5.83,0,0,0,0,0,0,0,0,162.34,0,0,0,0,0,0
