stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,2240.29,46556.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1720.1,0,0,0,0,0,0,0,0
  5-6,2722.57,33278.94,29.19,0,0,0,0,0,0,0,95.2,0,0,0,0,0,0,0,898.57,78.51,0,0,222.99,812.63,0,0,0,0,0,0,0,0
  7-9,423.21,334.4,603.71,0,0,957.12,0,0,0,0,525.51,0,0,0,0,0,0,0,10366.14,436.88,0,0,3635.75,59.44,164.03,0,0,0,0,0,0,0
 10-12,0,117.38,167.25,0,27.87,317.18,0,0,0,0,43.1,0,0,0,0,0,0,0,2908.4,128.09,0,0,1206.17,3.81,28.47,12.23,92.55,0,4.75,0,0,0
 14-21,0,0,2.71,49.13,15.77,10.82,0,0,0.88,5.72,19.09,0.86,0,1.13,23.48,0,0,20.71,201.76,17.99,0.92,2.31,7.65,25.34,9.17,37.88,4.32,4.1,63.42,72.78,0,0
 24-34,0,0,0,3.08,0.62,0.98,0.63,0,7.83,0,22.99,0,6.5,0,0.89,0,0,13,23.15,0.75,0,0,0,12.05,0,0,0,1.55,2.06,7.04,0.64,0
 36-46,0,0,0,10.74,0,0,0,0,1.14,0,0.66,0,5.07,0,5.41,0,0,0,11.65,6.21,1.13,0,0,2.8,0,0,0,0,0,11.66,0,0
 48-58,0,0,0,0,0,0.44,0,0,1.96,0,0.54,0,0,0,1.6,0,0,0,2.9,0,0,0,0,5.79,0,0,0,0,0,0.52,0,0
 60-70,0,0,0,0,0,1.44,0.89,0,0.81,7.48,0,0,0,0,0,1.53,0,0,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0,1.43,0,0.84,0,0,0,0,0,0,0,0,0,0,2.52,0.79,0
 84-94,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,6.09,0,0,0,0.79,0,0,2.65,0,1.26,0,0,0,0,0,0,1.27,0
 96-106,0,0,0,0,0,1.8,0.63,0,0,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.2,0,0.68,0,1.89,0,0,0,0,8.04,0,1.31,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0.77,3.34
120,0,0,0,0,0,15.11,0,0,0,0,0,0,0,0,8.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
