stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste
  7-9,0,3.54,0,0,6.14,0,0,0,0,0,0,0,0,0,7.93,0,0,3.46,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0.86,9.24,0.94,0,0,0,0,1.03,0
 24-34,0,0,2.09,0,0,0,0,0.97,0.71,0,0,0,0.8,0,11.12,0.9,0,0,0,0,0.59,0
 36-46,0,0,2.82,0.64,1.58,0,0,0,0,0,3.34,0,1.17,0,10.18,0,1.41,0,0,0,0.62,0
 48-58,0,0,3.71,0,0,0,0,3.35,0.46,0,0,0,0,0.88,0,0,0,0,0.98,0,1.07,0
 60-70,0,0,0,0,4.92,0,0.99,0,0,0,0.77,0,0.6,0,2.95,1.22,0,0,0,0,0,0
 72-82,0,0,7.94,0,3.82,0,0,0.73,0,0.6,2.15,0,0.88,0,9.5,0,0,0,0,0,0,0
 84-94,0,3,5.3,0,4.63,0,0,0,0,0,0,0,0.55,0.59,16.09,0,0,0,0,0,5.34,0
 96-106,1.65,0,0,0,0.98,0.58,0,0,0,0,0,0.74,4.19,0,1.74,0,0.74,0,0.92,0,0,2.08
108-118,1.22,0,2.15,0,5.66,0,0,0,2.78,0,2.03,0,1.29,0,8.48,0,1.54,0,0,0,0,0
120,0,0,1.76,0,0,0,0,4.67,0,0,0,0,2.22,0,3.96,0,1.87,0,0,1.42,0,0
