stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,hatching_gland,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,77.35,3213.6,0,0,0,0,0,0,0,0,0,0,0,0,53.98,0,0,0,0
  5-6,61.61,1257.2,0,0,0,0,0,0,0,0,9.69,8.9,0,18.97,8.88,0,0,0,0
  7-9,0,4.3,0,0,0,0,3.43,0,0,0,201.49,4.17,0,58.42,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,80.45,0,0,20.09,0,0,0,0,0
 14-21,0,0,3.58,1.09,0.87,1.25,0,0,0,0,7.14,0,0,0,1.67,6.95,1.14,2.09,0
 24-34,0,0,0,0,0,0,0,0,0,0,6.32,0,0.6,0,2.25,4.34,0,2.96,0
 36-46,0,0,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0,0.91,0.75
 48-58,0,0,1.53,0,0.51,1.56,0,0,1.46,0,9.22,0,0,0,0.85,0,0,5.51,0
 60-70,0,0,0,0,2.61,1.62,0,0,1.25,0,4.8,0,0,0,0,0,0,4.98,1.24
 72-82,0,0,0,0,5.63,3.63,0,0,2.15,0.69,4.08,0,0,0,1.44,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.65,1.51,0,5.86,0,0,0,0.89,0,0,0,0
 96-106,0,0,0,0,0.79,0,0,0,1.33,0,0,0,0,0,2.2,0,0,0,0
108-118,0,0,0,0.5,0.42,5.66,0,0,0,0.54,20.4,0,0,0,0.47,0,0,0,0.49
120,0,0,0,0,8.15,7.24,0,0,0,0,18.79,0,0,0,1.22,0,0,0,0
