stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,43.81,1662.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.03,0,0,0,0,0,0,0
  5-6,33.07,926.61,0,0,0,0,0,0,0,0,0,0,0,97.89,0,0,0,14.34,0,0,0,0,0,0,0
  7-9,7.47,4.85,8.46,0,25.65,0,0,0,0,15.96,0,0,0,352.08,18.95,0,166.08,3.26,0,0,0,0,0,0,0
 10-12,0,4.72,0,0,0,0,0,0,0,0,0,0,0,51.28,0,0,16.36,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,0,0,0,0,0,0,0,0,0,4.24,0,0,0.98,0,0.91,2.78,1.78,0,0,0,0
 24-34,0,0,0.67,0,0,0,0,0,0,0,0,2.79,1.09,11.48,0,0,0,18.95,0,0,0,0.79,0.78,0,0.78
 36-46,0,0,0,0.82,0.87,0,0,0,0,0,0,1.64,0,5.45,0.73,0,0,1.35,0,0,0,1.37,0,0,0
 48-58,0,0,0,0,0.39,0,0,0,0,0,0,0.5,0,4.81,0,1.16,0,0.5,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,5.04,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.53,0,0,0.64,0,0,0,2.64,0,1.25,0,0.54,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0.71,0,4.04,0,4.94,0,0,0,0,0,0,0,0,0,1.98,0
 96-106,0,0,0,0,0,0,0,3.09,0,0,0,4.83,0,0.56,0,0,0,2.34,0,0,0,0,0,0,0
108-118,0,0,0,1.95,2.06,0,0.76,0,0,0,0.59,7.16,0,0,0,0,0,0.41,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,0,0,0,3.72,0,0,0,0,0,0,0
