stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,neural,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,visceral_smooth_muscle
  3-4,45.64,716.9,0,0,0,0,0,0,0,40.82,0,0,0,0
  5-6,0,128.44,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.8,0,5.84,0,0,32.47,14.74,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,10.39,4.71,0,7.55,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 36-46,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.41,0,3.4,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.59,21.57,0,0,0,0,2.22,0
 72-82,0,0,0,0,0.59,1.5,0,13.94,0,0,0,0,0,0
 84-94,0,0,0,1.35,0,3.3,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.31,10.16,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,22.31,0,0,0,0,0,1.11
120,0,0,0,0,0,0,0,30.45,0,0,0,0,0,1.99
