stage,epidermis,eye,fast_muscle,fin_epithelia,gut,ionocyte,iridophores,mesenchyme,muscle,neural,periderm,spinal_cord,vascular_smooth_muscle,xanthophores
 14-21,4.31,0,0,0,0,0,0,22.44,8.1,2.31,0,0,0,0
 24-34,0.67,0,0,0,0,0,0,23.53,4.43,1.63,8.9,0,0,0
 36-46,0,0,0,0,0,0,0,14.27,1.63,0.85,31.25,0,0,0
 48-58,0.4,0,0.81,0,0,0,0,13.94,0.98,0,20.51,0,0.51,3.98
 60-70,0,0.73,0,0.64,0,0,4.06,9.64,0,3.73,61.27,0,0,0
 72-82,2.34,1.35,0,2.17,0.56,0,0,3.76,0,0.77,45.97,0,0,0
 84-94,0.6,0,0,0.6,6.57,1.17,0,1.31,0,0.77,56.29,0,0,0
 96-106,4.34,0,0,1.22,3.34,0,0,0,0,8.92,36.93,2.53,0,0
108-118,2.3,0,0,0.44,0.74,0,0,2.41,0,2.73,40.34,0,0,0
120,4.79,0,0,0,2.84,2.51,0,0,0,0,92.84,0,0,0
