stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,12.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.05,0,0,5.79,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.22,3.08,0,0,21.22,0,0,0,74.62,0,0,0,0,0,0,0,0
 14-21,0,0,0.96,1392.6,160.33,0,0.86,0,5.63,0,0,0,2.36,0,2.49,0,0,0,0,780.4,10.2,0,397.15,78.75,2.17,0,0,0,0,10.81,4.85,0,1.46,2.64,32.27,0,0,1.02,0,0
 24-34,0,0,0,1029.41,7.95,0,10.61,0,293.41,1.32,0.68,3.07,26.41,0,0,0,0,0,0,717.76,12.79,0,544.28,125.38,0.7,0,0,0,4.1,6.25,0,0,1.76,0.67,22.22,0,0,3.89,0,0
 36-46,0,0,0,193.02,2.92,0,10.28,0,585.09,34.52,3.62,0,20.16,0.67,0,0,0,9.67,0,424.12,0,9.06,544.16,92.39,0,1.24,0,0,0.77,21.82,4.67,23.09,0,0,14.99,0,0,2.75,0,0
 48-58,0,0,0,33.3,0,0,21.37,0,548.92,98.14,0.64,0,18.75,0,0,0,0,0,0,577.79,2.37,13.8,309.71,59.7,0,1.25,0,0,7.98,8.34,0,0,0,0,15.12,0,0,1.62,0,1.73
 60-70,0.81,0,0,18.95,0.7,0,12.78,0,393.63,117.67,1.15,0,1.52,0,0,0,0,1.2,0,428.76,0,0,121.71,24.49,0,0,0,0,5.6,0.96,0,0.71,0,0,1.1,0,0,0,0,0
 72-82,0,0,0,2.95,0.55,0,28.25,0,369.74,222.8,2.65,1.27,0,0,0,0,0,0,0,541.02,0,4.8,130.17,70.43,0,2.77,1.99,0,0,1.15,0,0,0,0,0.79,0,0.78,1,3.18,0
 84-94,0,0,0,13.15,0,0,44.01,0,624.49,137.02,4.23,0,0.97,0,0,2.36,0,0,0,421.56,0,4.92,96.47,23.16,0,4.81,0,0,1.2,3.74,0,0,0,0,0,1.11,0,1.82,2.75,0
 96-106,0,0,0,22.52,4.71,2.47,30.82,0.64,512.63,168.9,4.3,1.36,0,0,0,0,0,0,0,528.62,0,2.29,88.87,60.92,0,2.72,0,0,4.67,4.54,0,0,0,0,0,2.41,3.53,2.58,1.55,0
108-118,0,0,0,15.51,0.52,0,20.38,0,624.8,200.46,1.33,0,2.03,0.56,0,4.4,0.43,0,2.61,520.13,0,0.49,82.21,44.38,0,0.45,0,0,3.68,1.77,0,0,0,0,0.42,4.08,0,0,0,0
120,0,0,0,11.06,0,0,33.79,0,338.12,163.38,5.27,0,1.15,0,0,0,0,0,0,409.57,0,0,56.4,62.84,0,0,9.44,0,18.35,0,0,0,0,0,0,1.19,0,0,8.46,0
