stage,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,liver,mesenchyme,muscle,neural,notochord,olfactory,pronephros,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,4.55,0,0,0,3.71,3.96,0,0,0,0,0
 10-12,0,5.78,0,0,0,0,0,10.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.09,0,0.81,0,0,0.85,0,44.77,0,0,7.22,0,0,0.88,2.85,1.23,0
 24-34,0,0,0,0,0,0,0,0,16.67,0,0,3.54,0,0,0,1.29,0,0
 36-46,0,0,0.78,0.98,0,0,0,0,14.04,0.96,0,11.43,0,0,0,3.87,0,0
 48-58,0,0,0,0,0,1.3,0,0,0.44,0,0,4.18,0,0,0,0.63,0,0
 60-70,0,0,0,1.97,0,0,0,0,3.27,0,0,11.84,0,0,0,2.36,0,0
 72-82,0,0,0,7.02,0,0,6.88,0,3.84,2.34,0,10.09,0.52,1.07,0,0,0,0
 84-94,0,0,0,2.14,0,0,5.88,0,0,0.79,0,8.39,0,1.41,0,0,0,0
 96-106,0,0,0,10,0.9,0,32.52,0,0,0,0.76,7.57,0,3.87,0,0,0,0
108-118,0,0,2.61,2.14,0,0,80.77,0,3.58,0.97,0,17.69,0,0,0,0,0,4.45
120,1.37,0,0,0,0,0,68.26,0,1.12,0,0,4.14,0,0,0,0,0,0
