stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.56,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,3.7,1.1,0,0,0
 24-34,0,18.1,0,3.96,3.34,0,0,0,0,0,0,0,0,0.74,301.76,11.98,2.62,0,0,0
 36-46,0,13.34,0,2.05,5.81,0,0,0,0,0.71,0,0,0,0,708.79,6.22,14.84,0,0,0
 48-58,0,18.37,0.39,4.3,1.19,0,2.08,0,2.86,0,0,0.86,1.18,0.91,479.25,14.42,4.04,0,0,0
 60-70,0,19.2,0,10.45,0.82,1.23,0.74,2.33,0,0,0,0.72,0,0,331.11,7.04,0.69,0.92,0,0
 72-82,0,3.67,0,10.07,1.18,0,0,0,0.73,0,6.97,1.43,0,1.37,314.22,5.8,0,1.58,0.5,0
 84-94,0,10.66,0,1.42,6.4,1.22,0,0,0,2.39,0,0,0,0.77,473.58,12.25,0,0,0,0
 96-106,0,20.37,0,1.03,0.62,1.81,0,0.66,2.63,0,18.99,1.23,0.69,0,235.88,25.92,0,0,0,0
108-118,0,15.86,0,1.43,2.31,1.89,2.74,1.27,0,0,0,1.23,1.22,0.48,173.41,54.26,0,0,0,1.49
120,0,4.94,0,0,0,5.82,0,0,0,0,0,0,0,4.44,169.52,5.68,0,0,0,0
