stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,403.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.15,483.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.92,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.82,18.57,0,24.65,0,75.58,0,0,0,0,5.09,0,0,0,0,0,0,449.14,22.17,0,151.49,0,0,0,0,0,0,0,0
 10-12,0,18.5,0,12.74,0,70.53,0,0,0,0,20.04,0,0,0,0,0,0,403,13.19,0,219.65,0,0,25.64,0,5.3,0,0,0
 14-21,0,0,0,0,2.58,0.83,0,0,0,0,0,0,0,0,0,2.14,0,30.6,0.87,1.06,3,0,19.1,0,0,15.88,9.33,0,0
 24-34,0,0,0,0,0,4.56,0,0,0.65,0,0,0,0,0,0.68,6.13,0,27.74,0,0,0,1.74,0,0,0,0.92,2.9,0,0
 36-46,0,0,0,0,1.61,1.2,1.08,0,1.81,0,0,0,0,0,0,1.35,0,13.53,0,0,0,0,0,0,2.81,0,0,0,0
 48-58,0,0,0,0,0,5.17,0.99,0,3.92,0,0,0,0,0,0,1.31,0.43,8.34,0,0,0,0,0,0,0,0,0.39,0,0
 60-70,0,0,0,0,0,6.58,0,1.18,3.96,0,0,0,2.33,0,0,2.56,0,20.57,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.76,0,0,6.5,0,0,0,0,0,0,0,0,0,3.39,0.5,12.19,0,0,0,0,0,0,0,0,3.34,0,0
 84-94,0,0,0,0,0,13.1,0,0.89,0.56,0.6,0,0,0,0,0,1.47,1.42,3.39,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.95,1.42,0,3.2,0,0,0.61,0,1.78,0,3.87,1.87,23.23,0,0,0,0,0,0,0,0,0,0.67,0
108-118,0,0,4.9,0,0,20.08,0.54,1.98,0.84,0.69,0,3.54,0,0,0,9.5,0.8,12.02,0,0,0,0,0,0,0,0,0,0,0.42
120,0,0,0,0,0,4.35,0,0,2.08,0,0,0,0,0,0,17.11,1.22,47.29,0,0,0,0,0,0,0,0,0,0,0
