stage,epidermis,erythrocytes,eye,glial,immune,mesenchyme,neural,notochord,vascular_smooth_muscle,vasculature
 10-12,0,0,0,0,0,0,0,3.54,0,0
 14-21,0,4.13,0,0,19.48,0,0,0,0,0
 24-34,0,0,0,0,41.73,0,0,0,0,0
 36-46,0,17.02,0,0,120.69,0,0,0,0,0
 48-58,0,0,0,0,163.66,0,9.06,0,0,0
 60-70,0,0,0.78,0,206.06,0,0,0,0,0
 72-82,0,0,2.83,0,222.6,1.75,0,0,0.91,0
 84-94,1.19,0,3.05,0,207.07,0,7.64,0,0,0
 96-106,0,0,0,0,207.1,0,0,0,0,0
108-118,0,2.55,11.79,1.8,102.61,0,3.72,0,0,0
120,0,0,0,0,186.34,0,10.45,0,0,1.72
