stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,37.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.67,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.46,0,0,0,18.97,0,0,16.34,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.97,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0,63.41,13.96,0,0,49.8,0,0,0,0,7.31,0,79.72,0,0,0,0,0,0
 14-21,0,0,0,2.33,0,0,1.14,0,0,0,0,0,6.84,0,0,0,0,0,0,0,4.48,0,0,10.16,21.89,0,0,0.81,0,0,0,0.9,1.17,0,1028.52,695.61,6.42,0,0,0,0,0
 24-34,0,0,0,0.64,0,0,3.27,17.19,1.37,0.71,3.04,0,0,0,0,0,0,0,0,0.98,4.19,0,0,63.24,63.03,0.75,1.68,0,0,0,1.91,0,0,0,265.89,171.88,5.22,0,0,2.47,0,0
 36-46,0,0,0,0,0,0,3.83,51.04,5.71,4.25,1.67,0,0,0,0,3.67,14.59,0,0,0,2.56,0,0,16.23,65.84,2.14,2.65,0,0,0,0,0,0,0,124.11,8.69,5.41,0,1.23,1.85,0,0
 48-58,0,0,0,3.85,0,0,9.23,25.17,0,37.81,3.29,0,0,0,0,0,0.5,0,0,6.25,13.09,0,0,6.89,68.05,0,0,0,0,0,3.1,0,0,0,76.28,0,3.06,0,0,0,0,4.8
 60-70,0,0,0,0,0,0,39.6,22.45,0.87,28.01,5.87,0,0,0,0,0,0,0,0,0,10.83,0,4.48,12.75,38.19,0,0,0,0,0,2.51,0,0,0,44.37,0,0,0,2.15,0,0.72,0
 72-82,0,0,0,1.9,1.96,0,50.66,29.42,0,43.47,19.62,0.6,0,0,0,0,1.38,1.49,3.82,0,27.58,0.95,0,1.7,51.81,0,0,0,1.13,0,0,0,0,0,34.7,0,1.45,0,0,0.89,4.64,0
 84-94,0,0,0,5.95,7.43,0,28.22,52.06,2.61,58.31,20.52,0.94,0,0,1.59,0.59,2.21,0,1.17,4.37,22.9,0,0.75,21.66,41.92,0,0,0.83,0,0,0,0,0,0,41.47,0,2.1,0,0,0,2.51,7.62
 96-106,0,0,2.2,1.26,2.23,1.07,58.55,47.97,0,62.82,9.83,0.67,0,0,0,0,0.95,0,21.43,4.07,51.15,0,0,5.47,47.24,0,0,0,3.61,0,7.98,0,0,0,34.3,0,0,0,6.23,0,5.75,0
108-118,0,0,1.03,1.91,0,0,60.4,54.92,2.65,44.78,7.37,2.16,0,0,0,0.47,3.14,0,6.34,3.06,46.18,0,0,15.69,59.2,0,0,0.72,0,0,0,0,0,0,38.55,0,8.12,0,5.16,0,13.5,0
120,0,0,0,1.4,0,0,61.45,60.31,0,59.63,19.37,1.09,0,7.21,0,0,0,0,11.74,0,111.09,0,0,10.44,38.47,0,0,0,0,10.01,1.2,0,0,0,15.45,0,0,1.81,0,7.72,6.05,0
