stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,174.58,3377.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.62,0,0,0,0,0,0,0,0,0,0
  5-6,148.3,2906.06,0,0,0,0,0,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0,0,0,0,0,161.83,13.91,0,0,25.51,0,67,0,0,0,0,0,0,0,0,0,0
  7-9,18.49,6.88,0,20.25,0,0,0,8.39,0,0,0,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,245.89,8.83,0,0,34.02,0,10.72,30.65,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.53,0,0,0,0,0,11.81,0,0,0,0,0,0,0,0,0,0,0,95.31,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9.57,2.04,0,2.43,0,0.87,0,0,0,6.16,0,1.01,3.51,0,0,0,2.11,0,0,0,0,21.51,2.07,0,0,0,0,24.13,0,1.18,0,0.93,3.9,0,0,0,0,4.41
 24-34,0,0,0,1.18,8.03,0,0,9.31,0,1.83,0,3.36,1.53,0,0.95,32.67,6.33,0,1.73,0,5.25,4.91,2.5,0,0.65,66.4,1.15,2.51,0.95,0,0,38.96,0,0,0.6,1.1,12.05,0,0,12.02,0,0.61
 36-46,0,0,0,0,7.82,0,0,16.38,0,0,0.6,5.07,0,0,0.87,51.23,0,0,0,0,25.14,5.4,1.56,0,2.39,56.17,0,2.29,0.76,0,0,49.61,0,0,2.03,0,14.53,0,0,0,0,1.02
 48-58,0,0,0,0,6.42,0,0,31.74,0,1.66,0.53,10.78,0,0.54,0,29.86,0.38,1.78,0.44,0,4.08,25.11,3.88,0,6.41,146.93,0.79,4.41,1.33,0,0,36.68,0,0,0.86,0,19.49,0,0,12.04,0,10.29
 60-70,0,0,0,0,19.03,0,0,59.53,0,3.14,0.78,21.66,1.06,1.71,1.29,48.78,0.59,1.19,0.67,1.18,4,17.98,3.55,0.63,1.48,120.22,1.27,1.83,7.18,0,0,35.55,0,0,5.92,0,11.93,2.94,0,5.69,0,14.3
 72-82,0,0,2.31,0,19.6,0,1.65,53.17,0,1.19,0.59,6.3,7.42,0.6,0,22.49,4.77,5.37,0.63,0.88,0.57,24.05,3,0.72,2.35,144.6,0,4.68,2.51,0,0,29.04,0,0,2.72,0,11.99,4.78,2.15,2.32,0,3.17
 84-94,0,0,3.4,0,13.23,0,0,11.3,0,3.57,0,7.21,18.97,0,0,40.01,3.19,0.67,1.52,0,0,13.67,3.24,0.95,3.35,50.88,0,3.14,1.53,0,0,96.6,0,0,0.56,0,5.34,0.57,1.05,8.42,0,0
 96-106,0,0,1.11,0,24.49,0,5.7,26.81,0,0,0,20.63,12.26,0,1.2,37.82,6.98,4.14,4.41,9.91,0,14.8,6.98,0,2.31,63.41,1.31,9.13,1.03,0,0,70.35,0,0,3.14,0,9.25,0,4.16,19.93,0,0
108-118,0,0,0,0,24.18,0.51,0,17.41,0,3.5,0.82,14.17,23.09,0,0,37.31,9.32,1.07,2.66,0,0,21.46,6.23,0.97,2.24,69.73,0.55,12.04,1.34,0,1.31,86.07,0,0,0.93,0,6.83,5.44,0,11.68,0.73,0.59
120,0,0,0,0,42.7,0,0,17.27,1.04,3.67,0,3.29,48.69,0,0,36.5,3.64,0,0,17.16,0,8.05,0,0,6.54,105.49,0,6.78,2.44,0,0,79.24,0,0,0,0,3.3,3.57,0,22.41,0,0
