stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,75.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,98.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.84,0,0,0,0,0,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.84,5.33,0,0,8.06,0,0,0,0,0,0,0,0,0,0
 10-12,3.5,0,10.57,0,15.95,0,94.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.91,5.66,0,0,6.54,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.69,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282.35,0,1.55,0,0,0,1.66,0,0,133.72,0,0,0,0,0
 24-34,0,0.75,0,7.92,0,0,3.83,0,0.7,0,0,0,0,0,0,0,0,2.69,0,0,1.76,961.12,0,19.53,0,0,0.66,0,0.97,0.64,391.03,0,0,4.49,0,0
 36-46,0,0,0,3.56,0,0,49.62,0,0,15.02,0,0,0,0,0,0.6,0.83,3.67,0,0,0,2317.24,0,20.03,1.63,0,0,0,0,0,661.42,0,0,0,0,0
 48-58,0,1.01,0,4.1,0,0,234.08,1.02,5.16,22.88,0,0,3.79,0,0,0,0,11.31,0,0,7.67,2926.52,6.45,7.49,0,0,2.97,0,0,0,573.17,0,0,0,0,0.59
 60-70,0,0,0,2.26,7.97,0,544.38,0,1.36,39.27,0,0,10.49,7.1,7.43,0,0,21.5,0,0,2.63,4209.94,1.36,5.15,6.48,0,1.33,0,0,0,687.98,0,0,0,0,6.2
 72-82,0,0,0,12.1,0,0,622.97,0,2.75,58.53,0.71,0,0,2.95,0.57,0.84,1.08,36.7,0.52,1.84,2.74,3760.44,0,17.65,1.19,0,3.46,0,0.64,0,355.36,0,0,0,0.5,10.62
 84-94,0,2.87,0,9.55,2.86,0,616.47,0.68,0,79.92,0,0.7,0,0,1.3,0.69,0,30.05,0,0,4.61,2748.79,0,16.04,1.22,0,10.28,0,0,0,231.41,0,1.21,0,0.62,2.62
 96-106,0,0,0,13.84,14.94,0,416.55,0,0,38.72,0,0.88,0,0.97,0,1.14,9.55,52.32,0,0,0,2033.38,0,22.5,0.58,0,5.47,0,0,0,132.94,6.42,0,0,1.88,10.71
108-118,0,0,0,20.55,3.87,0.51,372.43,0,0,41.68,5.15,0,1.14,0.55,0,0,2.95,35.77,0,0.94,1.84,2390.61,0,6.29,1.15,0,4.49,0,0,0,140.07,1.84,0,2.96,0.57,0
120,0,0,0,35.16,3.13,0,327.5,0,1.16,65.11,0,0,3.53,0,0,0,0,31.91,0,0,5.25,2844.91,2.28,20.77,0,0,0,0,0,0,79.29,0,0,7.52,0,2.34
