stage,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,periderm,spinal_cord,vasculature,xanthophores
 36-46,0,0,0,0,0,0,0,0,0,1.24,0,0,0,2.75
 48-58,0,0,0,0,0,0,0,0.71,0,1.32,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0.75,2.63
 72-82,0,0,0,0,194.2,0,0,0,0,0,0,0,0,0
 96-106,24.37,0,0,0,0,0.83,0,0,0,0,0,0,0,0
108-118,14.44,0,1.01,2.78,1397.79,2.49,114.74,3.45,0,9.86,0,4.17,0,0
120,70.46,3.87,0,0,1860.68,0,0,0,2.24,30.93,1.77,0,14.62,0
