stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.57,246.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.29,87.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.21,0,29.04,0,0,25.64,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,398.6,27.31,0,0,95.98,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.55,0,39.19,0,0,30.34,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0,483.14,14.75,0,0,285.45,0,3.03,4.56,26.28,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.93,5.15,2.52,0,0,0,4.19,0,0,0,0,0,0,0,4.24,0,1.76,62.59,0,0,0,1.89,0.88,0,9.05,0,0.93,19.18,8.52,0,0,0,2.45
 24-34,0,0,0,0,2.24,0,3.56,0,0,0,0,0,0,0,0,1.47,0,0,6.09,0,1.29,48.33,0.95,0,0.68,0,0,0,0,0,0,2.07,8.7,0,1.38,0,0
 36-46,0,0,0,0,0,0,10.55,0,0,0.62,1.71,0,0,0,0,0,0,0,6.67,0,3.98,42.39,0,1.11,0,0,2.61,0,0,0,0,0,12.83,0,0,0,1.52
 48-58,0,0,0,0,0.47,0,11.66,0,0,0.45,5.83,0,0,0.56,0,0,0,0,11.61,0,0.82,65.92,0,0,0.46,0,4,0,0,0,0,0,7.9,0,0.75,0,0
 60-70,0,0,0,0,0,0,35.42,0,2.18,0,0.8,0,0,0,0,0,0,0,9.81,0,0,39.42,0,0,0,0,1.04,0,0,0,0,0,3.17,0,1.29,0,0
 72-82,0,0,0.68,0,0,0,23.33,0,0,0,2.58,0.59,0,0,0,0,1.26,0,5.73,0,0,36.41,0,0,0.57,0,0.53,0,0,0,0,0,2.62,0,0.57,0.49,3.31
 84-94,0,0,0,0,0,0,13.51,0.7,0,0,2.3,0,0,0,0,0,0,0,5.55,0.81,0,30.25,0,0,0,0,0.55,0,0,0,0,0,5.13,1.69,0,0,0
 96-106,0,0,0,0,1.49,0,4.75,0,0,0,2.8,0,0,0,0,0.8,0,0,6.88,0,0,15.18,0,0,0,0,1.42,0,0,0.87,0,0,0.99,0,2.33,0,0
108-118,0,0,0,0,2.03,0.57,11.84,0,1.06,0.72,4.47,0,0,0,0.56,0,0,0.54,9.81,0.71,0.96,24.74,0.47,0,0,0,1,0,0,0,0,0,0,0,0.48,0,1.16
120,0,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0,0,2.58,0,0,0,4.11,25.26,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0
