stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,11.05,9.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,19.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,51.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.79,1955.07,0,0,0,0,0,0,0,1.12,0,0,0.8,0,0,0,0,0,0,0,0,15.13,2.35,0,0.97,15.06,0,0,0.8,9.73,0,0,1.6,0,0
 24-34,0,0,0,0.62,6.13,5039.66,0,14.69,0,0.6,0,2.28,0.92,0,3.84,1.87,0.62,0,0,13.91,3.35,14.27,0.63,0,4.86,245.43,1.29,1.7,0.98,18.22,1.49,0,7.55,35.4,0,0,10.76,0,6.14
 36-46,0,0,0,0,6.43,3149.46,0,30.85,0,0,0,2.54,0.95,0,1.69,0,4.39,0,0,0,0,14.56,0.58,0,3.03,202.75,0,0,1.46,14.04,0,0,0,29.96,0,0,10.87,0,0
 48-58,0,0,0,0,4.27,6003.41,0,95.87,1.6,0,2.04,16.32,0,0,1.1,0,4.78,0,0.43,0,0,26.3,2.28,0,7.77,286.3,2.96,1.14,2.45,4.58,1.28,0,0,50.45,0,0.84,8.93,0,15.72
 60-70,0,0,0,0,3.83,4646.46,0,115.48,0.78,0,0.63,11.3,0,0,0.75,3.11,0,1.91,2,0,0,34.09,0.63,0,0.82,155.04,1.36,0,0.71,9.55,0,0,0,35.8,0,1.29,5.56,0.81,25.96
 72-82,0,0,0,0,0,3641.16,0,105.58,4.12,2.6,1.69,12.53,0.56,0,0,1.06,2.12,0.94,0,0,0,27.69,0,0,3.08,155.06,0,5.74,0,7.45,0.49,0,0,19.12,0.87,0,9.95,0,5.57
 84-94,0,0,0,0,6.6,3282.81,0,51.55,2.83,1.89,0,6.23,3.75,0,0,2.91,7.94,4.37,3.02,0.83,0,15.84,3.34,0.76,0,74.82,0,0,0.79,6.8,6.21,3.15,0,9.68,2.01,0,0.65,0,9.28
 96-106,0,0,0.89,0,7.64,4346.77,0,54.17,0.64,0,0,3.47,7.89,0,4.5,4.37,7.6,2.39,1.01,0,1.08,18.09,9.4,1.09,11.76,120.93,0.57,2.88,2.47,10.66,0.59,0,0,2.38,2.66,0,6.83,0,4.01
108-118,0,0,0,0,1.28,2595.38,0,23.7,0.99,0,0.5,10.14,4.96,0,0,13.5,0.47,0.42,0.7,0.43,0,16.91,5.35,0,0,111.47,0.51,0,2.62,6.32,0,0,0,3.55,0.83,1.68,12.36,0.95,0.41
120,0,0,0,0,14.53,2510.55,10.57,26.42,0,0,16.69,15.87,3.85,0,0,0,18.98,3.52,0,18.94,0,39.64,0,0,4.05,125.55,0,0,0,0,0,0,0,2.98,0,0,0,0,0
