stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,23.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74,0,0,0,0,0,0,0,0,0,0
  5-6,48.27,22.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,0,0,0,44.2,0,0,0,0,0,0,0,0,0,0
  7-9,3.32,8.58,0,0,0,0,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.29,5.39,0,0,3.28,8.65,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.95,18.4,0,0,254.71,0,11.29,0,0,168.64,0,0,0,0,0,0
 14-21,0,0,0.82,2.92,7.67,0,0.83,0,0,0,0,0,0,46.93,0,1.16,0,0,0,14.53,0,40.8,52.32,5.4,0,0,1.7,0,273.21,1.08,4052.55,2516.19,35.29,0,0,0,0,0
 24-34,0,0,0,0,2.1,0,11.46,393.95,1.53,0,2.42,0,0,29.91,0,0,0,0,0,9.58,0,64.38,190.37,0,0,0,0,16.12,0.85,0,1032.2,546.96,54.66,0,0,7.55,0,1.72
 36-46,0,0,0,0,1.52,2.17,19.11,771.83,0,0,7.71,0,0,18.18,1.66,0,0,5.07,1.81,24.72,0,94.17,181.15,17.35,1.01,0.71,16.41,3.02,6.89,0,556.91,27.72,30.08,0,0,1.1,0,13.41
 48-58,0,0,0,0,4.02,1.21,35.4,480.15,0,1.66,11.66,0.57,0.49,16.83,0,0,6.52,0.58,0,16.06,0.51,59.68,169.25,0,0.48,0,0,0,0,0,272.69,0,41.43,0,0,1.29,0,11.38
 60-70,0,0,0.77,0,0,0,58.7,275.07,3.28,1.98,4.21,0.64,0,9.16,1.44,0,0,0,1.24,8.55,0,66.81,98.84,0,0,1.25,2.43,2.32,0,0,141.09,0,22.08,0,0.63,1.11,0,5.1
 72-82,0,0,3.19,0,0,1.84,51.03,157.6,0,0.51,10.85,2.46,0,3.19,0,2.2,0,0,0,10.4,0,36.96,71.83,0,1.04,0,3.38,0,0,0,69.75,0,16.76,4.21,0.57,2.77,0,7.57
 84-94,0,0,0,0,2.47,0,50.57,238.16,0,2.08,8.81,0,0,5.66,0,0,0,0,0,9.07,0,25.24,71.02,0,0,0.82,0,2.97,0,0,80.3,0,5.49,0,0.88,3.59,0.98,0.7
 96-106,0,0,4.46,0,0,7.1,61.42,233.2,0.58,0,16.28,1.1,0,12.65,0.79,0,1.9,2.94,0,14.59,1.09,17.56,74.5,0,0,1.16,1.2,10.32,0,0,52.6,0,0,0,1.27,4.68,5.41,0
108-118,0,0,1.39,0,0.98,0,28.62,192.49,0,0,10.9,4.46,0,11.43,0,1.24,0,4.86,0,3.82,0,24.7,58.29,0,1.36,0,0,1.65,0,0,51.03,0,6.47,0,2.91,0.99,0.65,0
120,0,0,1.22,0,1.97,0,53.69,113.93,0,0,18.52,3.14,0,5.29,3.38,2.37,0,0,0,4.54,0,32.85,29.21,0,0,0,0,0,0,0,15.25,0,0,0,4.13,0,0,0
