stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,63.02,72.81,0,0,0,0,0,0,0,0,0,0,0,50.07,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,50.8,26.08,0,303.02,0,5.95,0,0,0,0,0,0,0,574.75,0,0,0,0,0,0,0,0,0,0,628.55,4.22,0,0,21.22,0,7.29,0,0,9.82,0,0,0,0,0,0,0,0
 10-12,0,10.99,0,363.84,0,31.37,0,23.95,0,0,0,0,0,66.74,0,0,0,0,0,0,0,0,0,0,2798.52,56.4,0,0,120.67,0,4.33,0,0,11.26,0,8.29,0,0,0,0,0,0
 14-21,0,0,0,19.99,1032.52,7.52,0,4.6,0,0,0,0,3.72,1.72,0,0,14.66,0,5.25,0,67.08,3.78,0,95.93,382.86,5.75,48.44,262.57,0,0,12.39,0,126.63,1.22,182.13,1981.29,11.34,0,0,0,0,0
 24-34,0,0,0,0.83,154.53,0,0,7.64,0.9,0,3.7,0,0,15.06,0,0,20.79,0,49.98,1.88,132.54,11.72,0,93.52,400.55,0,71.42,182.51,0,0,16.39,0,5.51,0,33.46,197.19,9.14,0,0,1.57,0,0
 36-46,0,0,0,0,37.1,0,0,3.22,11.57,0.88,6.51,0,0,0,0,0,6.06,0.88,21.91,0,137.49,4.65,0,93.12,294.75,0.55,16.2,52.43,0,0,4.57,0,0,0,6.83,4.13,8.24,0,0.62,9.86,0,11.45
 48-58,0.39,0,0,0,21.91,0,0,23.24,5.08,0,4.76,3.93,0,3.34,0,0,3.39,0,33.22,0,146.04,6.06,0,84.04,227.93,0.57,10.6,45.79,0,0,3.16,0,0,0,5.37,0.55,7.05,0,0,1.48,0,2.43
 60-70,0,0,0,0,17.07,0,0,21.8,12.65,0,6.18,1.6,0,0,0,1.31,9.46,0,17.25,0,142.49,0,0,87.57,131.75,0,7.35,49.03,0,0,3.05,0,0,0,5.69,0,0.96,0,0,0,0,0
 72-82,0,0,0.6,0,13.19,0,0,21.55,4.55,0,1.32,5.15,1.32,0.59,0,0,12.8,1.65,42.1,0,220.15,9.51,1.31,66.28,136.82,0,12.6,69.3,0,2.13,3.42,0,0,0,0.58,0,3.33,0,1.42,0,0.57,0
 84-94,0,0,0,0,15.88,0,0,28.3,7.54,2.17,10.71,2.03,1.2,3.43,0,0,21.92,0.75,27.06,0,130,4.75,0,59.22,142.88,0,27.35,70.99,0,0,3.11,0,0,0,1.31,0,3.65,0,1.99,0,1.09,0
 96-106,0,0,0,0,20.77,2.18,0.97,16.8,11.04,0,6.82,10.45,0,0,3.1,1.65,25.37,0,48.17,3.08,159,9.39,1.01,69.39,145.35,3.77,53.56,115.18,0,0,9.71,2.06,0,0,2.3,0,0,1.2,0,2.48,0,0
108-118,0,0,0,0,20.12,0,0,28.43,12.23,1.03,7.29,12.34,0,0,3.6,0.93,44.87,1.02,28.58,1.34,166.78,6.5,1.6,108.07,153.8,0,35.36,109.74,0,0,4.98,0,0,0,0,0,0,3.21,1.53,1.79,0,0
120,0,0,0,0,10.96,8.5,0,0,12.74,0,2.87,16.62,1.55,0,0,0,6.93,0,22.13,3.99,212.13,17.37,0,106.87,175.69,0,48.22,108.33,0,0,0,0,0,0,0,0,13.96,0,0,0,0,0
