stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,otic,paraxial_mesoderm,periderm,taste,xanthophores
  3-4,0,70.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.31,30.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.62,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.46,0,4.52,8.37,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07,0,6.68,0,0,0
 14-21,0,0,0.88,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.64,6.31,0.68,0,0,0,0.71,0,0,0,0,0,13.64,0,0,0.88,0,0
 36-46,0,0,0,0,0,0,0,0,0.89,0.77,0,0,0,0,2.76,0,0,7.15,0,0
 48-58,0,0,0,0,0,0,0.71,0,0,0,0,0,0.44,0,1.22,0,0,1.99,0,0
 60-70,0,0,0,4.35,0,1.83,0,0,0.64,0,0.88,0,0,0,2.41,2.96,0,4.12,0,0
 72-82,0,0,0,0,0.67,0,0,0,1.23,0,0,0,0,0,1.03,0,0,4.34,0,0
 84-94,0,0,0,0,0,0.57,0,1.37,1.4,0,0,0,0,0,1.21,0,0,13.09,0,0
 96-106,0,0,0,0.78,0,0,0,1.2,0.83,0,0,0,0,0,0,0,0,11.77,0,0
108-118,0,0,0,1.94,0,0,0,2.39,2.38,0,0,0.76,0,0.49,0,0,0,12.09,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,1.17,0,0,33.86,0,3.15
