stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,7672.02,205902.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10557.29,0,0,0,0,0,0,0,0,0,0
  5-6,5743.43,371644.61,357.81,0,0,0,0,0,0,0,0,0,74.39,0,0,0,0,0,0,0,0,0,0,0,22018.04,37.21,0,0,5587.96,0,8484.38,0,0,0,0,0,0,0,0,0,0
  7-9,133.37,4968.44,11273.93,0,32.82,0,791,0,0,0,0,0,293.24,0,0,0,0,0,0,0,0,0,0,0,174410.16,979.18,0,0,90162.45,0,893.57,1074.2,0,234.13,0,0,0,0,0,0,0
 10-12,23.01,1394.98,5873.39,0,178.19,0,211.18,0,0,0,0,0,65.09,0,0,0,0,0,0,0,0,0,0,0,54099.32,641.3,0,0,34523.67,0,273.08,626.57,27.66,3254.87,0,18.32,11.2,0,0,0,0
 14-21,0,1.92,2.26,1910.32,36.13,0,62.24,0,55.66,0,0,15.14,6.04,2.81,0,27.44,0.87,0,1.02,8.35,262.68,1.09,0,100.3,505.71,90.87,0,3.11,1500.88,0,154.94,37.88,3197.61,9.09,774.37,969.26,207.78,0,1.01,0,0
 24-34,0,0,0,173.51,0,0,55.57,5.2,167.91,36.55,5.45,6.17,0,0.76,1.27,3.13,0,0,0,17.2,139.51,1.37,0.89,87.24,758.29,14.65,0.84,8.6,0,0.99,45.57,2.76,0,0,198.01,221.79,66.51,0,3.67,0,10.14
 36-46,0,0,0,27.63,0,0,20.84,8.69,55.98,73.2,18.06,3.82,0,4.42,18.12,0,2.35,0,0,0.66,107.79,1.89,0.86,41.44,489.83,6.9,0,3.56,0,0,18.11,1.61,0,0,11.43,0,44.36,0,8.94,0,14.16
 48-58,0,0,0,10.11,0,0,21.75,4.88,15.76,93.58,26.25,0.38,0,0,10.94,0,0.5,0,0.87,14.79,85.29,1.58,0,22.53,187.05,0.38,0,1.66,0,0,7.38,0,0,0,2.02,0,29.42,0,1.33,0,9.32
 60-70,0,0,0,3.22,0,0,12.77,2.07,34.75,112.61,21.86,0,0,0,41.14,0,0,0,0,13.34,61.89,0,0,19.76,58.1,0,0,0.76,0,0,3.84,0,0,0,1.46,0,15.59,0,0.88,0,24.02
 72-82,0,0,0,8.13,0.5,0,18.63,1.59,22.53,115.82,41.81,0,0,0,57.52,0,0.64,0,0.66,9.79,58.07,0,0,11.9,36.35,0,3.47,1.04,0,0,1.02,0,0,0,0,0,0,0,4.7,0.76,17.43
 84-94,0,0,0,8.09,0,0,13.89,0,6.76,77.7,25.99,2.33,0,0,43.12,0,0.74,0,0,0.56,55.04,0,1.92,11.59,24.94,0,0,2.45,0,0,2.3,0,0,0,0,0,0,0,2.89,0.98,13.34
 96-106,0,0,0,4.39,2.42,0,21.91,0,2.7,98.99,58.69,1.03,0,0,182.02,0,0,0.58,0,3.06,46.39,0,0,8.69,32.31,0,0,1.3,0,0,6.44,0,0,0,0,0,0,5.44,0,1.95,24.16
108-118,0,0,0,5.08,0.73,0,28.33,2.33,8.89,168.09,47.03,0.91,0,0,91.42,0.55,0,0,0,5.95,42.57,1,0,17.82,35.72,0,0.41,1.78,0,0,2.72,0,0,0,0,0,0,0,0.85,0,35.61
120,0,0,0,3.1,0,1.71,5.27,0,9.47,135.47,76.51,10.27,0,0,82.81,0,1.58,0,0,4.71,48.55,3.7,0,5.68,42.84,0,0,1.51,0,0,0,0,0,0,0,0,0,0,1.62,0,4.66
