stage,epidermis,glial,gut,immune,neural,periderm,taste
 10-12,0,0,0,0,20.92,0,0
 60-70,0.91,0,0,0,0,0,0
 72-82,0.5,4.23,0,0,0,0,0.87
 84-94,2.08,0,0,1.6,0,0,3.72
 96-106,3.24,0,2.27,0,0.78,7.95,35.09
108-118,5.17,0,0,0,0,0,29.07
120,0,0,0,0,0,0,3.49
