stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,347.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.36,0,0,0,0,0,0,0,0,0,0
  5-6,36.07,292.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9,0,0,0,0,0,10.84,0,0,0,0,0,0,0,0,0,0
  7-9,3.75,5.83,0,0,0,0,0,4.85,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,33.48,15.13,0,0,3.71,0,5.09,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.75,0,0,0,10.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9,5.18,0,0,7.04,0,0,3.03,0,3.39,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,3.28,4.64,0,3.33,0,0,0,0,2.27,0,6.04,0,0,0,0,0,0,9.31,0,0,1.37,20.97,0,0,0,0,0,2.4,0,3.06,0,19.12,5.78,6.82,0,0,0,0
 24-34,0,0,0,0.68,0.98,0.79,0,7.18,0,0,0,1.31,0.64,0.66,2.6,2.22,0.65,0,0,0,1.29,5.87,0,0,3.14,29.31,0,1.68,0,0,0.99,5.52,0,0,0,13.35,3.19,11.32,0,12.02,0,8.55
 36-46,0,0,0,0,4.34,0,0,4.75,0.64,0,0,2.91,0.61,0,0,0.73,1.55,0,0,0,0.67,5.31,0,0,0,21.66,2.66,0,2.45,0,0,2.14,0,0,0.58,1.17,0,3.35,0,4.63,0,3.12
 48-58,0,0,0,0,0,0,0,8.98,2.16,0,0,2.09,0,0,0,0.85,0,0.72,0.51,0,2.84,2.23,0,0,1.39,20.52,0,0.58,0,0,0,0,0,0,0,0,0,4.29,0,0,0,10.63
 60-70,0,0,0.62,0,0,2.23,0,10.33,1.6,0,0,4.08,0,0,0,1.1,0,0,0,0,0,9.89,0,0,0.89,11.85,0,0,1.58,0,0.84,0,0,0,0,0.75,0,0.65,0,1.33,0,0
 72-82,0,0,0.56,0,1.44,3.87,0,7.84,0,0,0,4.98,0.53,0,0,0,0,0,0,0,0,6.86,0,0.72,0.54,8.93,0,0,1.32,0,0,2.08,0,0,1.09,0,0,0,0,1.68,0,0
 84-94,0,0,0,0,0,3.68,0,13.91,0.79,0,0.71,4.86,4.12,0,0,1.5,0,0,0.81,1.21,0,7.09,0.76,0,0.68,20.32,0,3.85,1.16,0,0,1.88,0,0,0,2.04,0,0.84,0,6.82,0,0
 96-106,0,0,1.28,0,2.76,3.27,0.98,14.81,0,0,0,11.48,4.83,0,0,3.36,0,0,0,1.72,0.67,7.13,0,0,2.61,23.34,0,8.08,0.98,0,0,7.25,0,0,0,1.22,0,0,0,3.39,0,11.63
108-118,0,0,0.75,0,1.19,2.7,3.12,21.61,0,0.42,0,17.99,4.01,0,0,8.98,1.23,2.11,0,3.35,0.72,15.97,0,3.22,2.47,45,0,1,0.43,0,0,0.88,0,0,0,0.41,0,0,0.71,7.75,1.17,0
120,0,0,0,0,8.48,2.5,0,13.64,5.08,0,0,41.66,6.31,0,0,3.8,1.07,0,0,0,0,3.09,0,0,5.25,71.82,0,0,8.73,0,0,0,0,0,0,1.21,0,8.14,0,0,0,0
