stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,1.95,3.23,1.75,0,0,0,0.85,0,0,0,0,0,0,14.04,1.73,0,0.98,0.89,2.93,0.88,0,2.54,2.86,0,0,0
 24-34,0,0,0,1.65,0,0,0,0,0.67,0.65,0,0.67,0,0.65,15.97,0,0,0,0,5.32,0,0,0,2.79,0,9.18,0
 36-46,0,0,0,5.08,0,0,0,0,0,0,0,0.77,0,0.63,63.77,0,0,0,0,5.48,0,0,0,5.52,0,5.45,0
 48-58,0,0.55,0,8.44,0,0,0,0,0,0,0,1.55,0,0,25.9,0,0,0,0,6.45,0,0,0,9.75,0,7,0
 60-70,0,0,0,36.97,0,0.72,2.78,0,0,0.63,0,4.57,0,0,57.83,0,0,1.03,0,1.24,0,1.58,0,16.23,0,11.54,0
 72-82,0.68,0,0,8.63,0,0,1.52,0.72,1.89,0.6,0,4.62,1,0,22.57,0,0,0,0,3.75,0,0,0,6.86,0,4.12,1.2
 84-94,0,2.44,0,4.86,0,0,4.23,0,0,2.67,0,6.57,0,0,3.27,0,0,0,0,4.93,0,0,0,8.92,0,18.15,0
 96-106,0,2.21,0,1.55,0,0,0,0,2.57,2.96,0,2.44,0,0,18.18,0,1.34,0,0,7.15,0,0,0,0,0,3.56,0
108-118,0,1.59,0,13.8,2.37,0,0,0,0,1.47,0.43,10.31,0,0,28.04,0,0,0,0,0,0,0,0,1.41,0.57,10.4,0
120,0,6.22,1.3,8.47,0,0,5.38,0,0,9.68,0,0,0,0,5.18,0,0,0,0,6.42,0,0,0,0,0,0,0
